expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
ステレオ,ステレオ,stereo,JLPT JLPT_N4,j)<hxBenH^,"สเตอริโอ, เครื่องเสียงสเตอริโอ, ระบบสเตอริโอ, สเตริโอโฟนิก",新しいステレオを買いました。,ซื้อเครื่องเสียงสเตอริโอใหม่แล้ว
医学,いがく,medical science,JLPT JLPT_N4,j>$AcgpmMe,"วิทยาศาสตร์การแพทย์, เวชศาสตร์, แพทยศาสตร์, การแพทย์",医学の勉強をしています。,กำลังเรียนวิชาแพทย์
テキスト,テキスト,text; text book,JLPT JLPT_N4,tNueVeWq/i,"ข้อความ; หนังสือเรียน, บทเรียน, ตำรา, บทความ",このテキストは難しいです。,ตำราเล่มนี้ยาก
～月,～つき,month,JLPT JLPT_N4,fmd>SOFFek,"เดือน, คาบเวลาหนึ่งเดือน, ตลอดเดือน, รอบเดือน",来月、旅行に行きます。,เดือนหน้าจะไปเที่ยว
折る,おる,"to snap, to break; to bend",JLPT JLPT_N4,yVVu7>5}8_,"หัก, แตก; งอ, พับ, ทำให้หัก",紙を折ってください。,ช่วยพับกระดาษหน่อย
～会,～かい,~ meeting,JLPT JLPT_N4,q`5&BgJq(Y,"~ การประชุม, ~ สภา, ~ เวที, ~ ที่ประชุม",明日の会議に出席します。,จะเข้าร่วมการประชุมพรุ่งนี้
うかがう,うかがう,to ask,JLPT JLPT_N4,i(<6VU5W9O,"เพื่อถาม, สอบถาม, ไต่ถาม, ซักถาม",先生に質問をうかがいました。,ฉันได้ถามคำถามอาจารย์แล้ว
聞こえる,きこえる,"to be heard, to be audible",JLPT JLPT_N4,quf~I<>p>,"เพื่อให้ได้ยิน เพื่อให้ได้ยินได้, ได้ยิน, แว่ว, ลั่น",隣の部屋から音が聞こえます。,ได้ยินเสียงมาจากห้องข้างๆ
僕,ぼく,I (used by men towards those of equal or lower status),Genki Genki_Ln.5 JLPT JLPT_N4,sZrMWgN[D[,"ฉัน (คำที่ผู้ชายใช้เรียกผู้ที่มีสถานะเท่าเทียมหรือต่ำกว่า), ผม, ข้าพเจ้า, เรา",僕も参加したいです。,ผมก็อยากจะเข้าร่วมด้วย
必ず,かならず,"surely, certainly",Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t=>{J>bIy^,"แน่นอน อย่างแน่นอน, ชัวร์, ไม่ต้องสงสัย, อย่างแท้จริง",明日は必ず晴れます。,พรุ่งนี้อากาศจะต้องแจ่มใสแน่นอน
壊す,こわす,"to break, to break down",JLPT JLPT_N4,d^9}5OH`;*,"แตกหัก, ทำให้พัง, พังทลาย, ทำลาย",このコップを壊さないでください。,อย่าทำแก้วนี้แตก
怒る,おこる,to get angry; to scold angrily,Genki Genki_Ln.19 JLPT JLPT_N4,Ib^RmCfT#f,"โกรธ; ดุด่าอย่างโกรธเคือง, โมโห, ฉุนเฉียว, บันดาลโทสะ",弟が宿題をしなかったので、怒りました。,น้องชายไม่ได้ทำการบ้าน ฉันเลยโกรธ
床屋,とこや,barber's (shop),Genki Genki_Ln.10 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,t^jDr`iefA,"ร้านตัดผม, ร้านทำผม, ร้านบาร์เบอร์, ซาลอน",床屋で髪を切りました。,ตัดผมที่ร้านตัดผม
オートバイ,オートバイ,motorcycle (lit: auto-bi(ke)),JLPT JLPT_N4,Pt[L]fX^FJ,"รถจักรยานยนต์ (แปลตรงตัว: ออโต้ไบค์), มอเตอร์ไซค์, จักรยานยนต์, มอไซค์",オートバイが速いです。,รถจักรยานยนต์คันนี้เร็ว
運動,うんどうする,exercise,JLPT JLPT_N4,#ERROR!,"ออกกำลังกาย, กายบริหาร, ฝึกร่างกาย, บริหารร่างกาย",毎日運動しています。,ออกกำลังกายทุกวัน
止む,やむ,"to cease, to stop",JLPT JLPT_N4,i[hf?*~a)V,"หยุด, ยุติ, ระงับ, เลิก",雨が止みました。,ฝนหยุดแล้ว
もし,もし,if,JLPT JLPT_N4,oLI2n{GVOs,"ถ้า, หาก, แม้ว่า, สมมติว่า",もし時間があれば、来てください。,ถ้ามีเวลา ช่วยมาหน่อย
表,おもて,surface; front; outside,JLPT JLPT_N4,qP[jTS0$-o,"พื้นผิว; ด้านหน้า; ด้านนอก, ผิวหน้า, ส่วนหน้า, ภายนอก",箱の表に絵が描いてあります。,มีรูปวาดอยู่ด้านหน้ากล่อง
大学生,だいがくせい,"college student, university student",Genki Genki_Ln.1 Genki_Ln.8 JLPT JLPT_N4,cCEA>;7p%n,"นักศึกษาวิทยาลัย, นักศึกษามหาวิทยาลัย, นักเรียนมหาวิทยาลัย, นักศึกษา",彼は大学生です。,เขาเป็นนักศึกษามหาวิทยาลัย
運転手,うんてんしゅ,driver (by occupation),Intermediate_Japanese_Ln.6 JLPT JLPT_N4,c=1Zd>L>/{,"คนขับรถ (ตามอาชีพ), พนักงานขับรถ, สารถี, โชเฟอร์",運転手さんが待っています。,คนขับรถกำลังรออยู่
予習,よしゅう,preparation of lessons (for class),Genki Genki_Ln.22 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,A$348:bL<R,"การเตรียมบทเรียน (สำหรับชั้นเรียน), เตรียมเรียน, เตรียมพร้อมเรียน, จัดเตรียมบทเรียน",授業の予習をします。,เตรียมบทเรียนสำหรับคาบเรียน
心配,しんぱいする,"worry, concern",JLPT JLPT_N4,reB^;ntMm;,"ความกังวล ความห่วงใย, เป็นห่วง, วิตกกังวล, ความวิตก",風邪をひかないか心配です。,เป็นห่วงว่าจะไม่สบาย
別,べつ,"distinction, different",JLPT JLPT_N4,pvVM*k}K*D,"ความแตกต่าง, ต่างออกไป, ความแตกต่างกัน, แตกต่าง",これは別のお菓子です。,นี่คือขนมอีกชนิดหนึ่ง
非常に,ひじょうに,extremely; very,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,Ih.~ep.W8C,"อย่างมาก; มาก, มากมาย, อย่างยิ่ง, เหลือเกิน",この道は非常に狭いです。,ถนนเส้นนี้แคบมาก
お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --,Genki Genki_Ln.13 Intermediate_Japanese_Ln.7 JLPT JLPT_N4,"G:h,g@5k[b","บ้าน (ของคนอื่น) บ้าน -- คำสุภาพ แปลว่า 家 (いえ) --, เคหสถาน, ที่พำนัก, เรือน",お宅はどちらですか。,บ้านของคุณอยู่ที่ไหนครับ/คะ
柔らかい,やわらかい,"soft (in reference to texture), tender",JLPT JLPT_N4,Mb;<89jf/c,"นุ่ม (ในแง่ของเนื้อสัมผัส) อ่อนนุ่ม, ละมุน, นิ่ม, อ่อน",このパンは柔らかいです。,ขนมปังนี้มันนุ่ม
拾う,ひろう,"to pick up (something), to find",Genki Genki_Ln.22 JLPT JLPT_N4,A7mxJIkuGg,"หยิบ (บางสิ่ง) หา, เก็บ, พบ, เจอ",道で 100円を拾いました。,เก็บเงิน 100 เยนได้บนถนน
～ございます,～ございます,"to be (polite), to exist",JLPT JLPT_N4,kMO?quX[B$,"เพื่อเป็น (สุภาพ) เพื่อดำรงอยู่, เป็นอยู่, ดำรงอยู่, มีอยู่",どうぞ、お座りください。,เชิญนั่งครับ/ค่ะ
気,き,"spirit, mood",JLPT JLPT_N4,N`FU2bb#2c,"จิตวิญญาณ อารมณ์, สภาพจิตใจ, ความรู้สึก, พลังใจ",元気を出してください。,สู้ๆ นะ
比べる,くらべる,to compare,JLPT JLPT_N4,OXHWkwV:?8,"เพื่อเปรียบเทียบ, เทียบ, เปรียบ, เปรียบเทียบกัน",この二つの色を比べます。,เปรียบเทียบสีสองสีนี้
ほとんど,ほとんど,"mostly, almost",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,nQ>_aG@b-U,"ส่วนใหญ่ เกือบทั้งหมด, โดยมาก, ส่วนมาก, เกือบจะ",ほとんどの人が賛成しました。,คนส่วนใหญ่เห็นด้วย
つもり,つもり,"intention, plan",JLPT JLPT_N4,fOH84**JB],"ความตั้งใจ แผนการ, เจตนา, จุดประสงค์, โครงการ",明日、友達に会うつもりです。,ตั้งใจว่าจะไปเจอเพื่อนพรุ่งนี้
郊外,こうがい,"suburb, outskirts",JLPT JLPT_N4,m[#TphS~Yp,"ชานเมือง, รอบนอก, เขตชานเมือง, นอกเมือง",郊外に住んでいます。,อาศัยอยู่ที่ชานเมือง
だめ,だめ,"useless, no good, hopeless",JLPT JLPT_N4,F`}=@;2gGr,"ไร้ประโยชน์ ไม่มีค่า สิ้นหวัง, ไร้สมรรถภาพ, ไม่ดี, ไม่มีทาง",それはだめです。,แบบนั้นไม่ได้นะ
売り場,うりば,place where things are sold,JLPT JLPT_N4,g8Zs2)0MYs,"สถานที่ขายสินค้า, แหล่งขาย, จุดขาย, โซนขายของ",この売り場は広いです。,โซนขายของตรงนี้กว้าง
正月,しょうがつ,"New Year, New Year's Day",JLPT JLPT_N4,z?cV&4IRT$,"ปีใหม่ วันปีใหม่, วันขึ้นปีใหม่, ตรุษ, เทศกาลปีใหม่",正月は家族と過ごしました。,ใช้เวลาช่วงปีใหม่กับครอบครัว
規則,きそく,"rule, regulation",JLPT JLPT_N4,"fX,<9qoCbI","กฎ ระเบียบ, ข้อบังคับ, กฎเกณฑ์, หลักเกณฑ์",規則を守ってください。,กรุณารักษากฎ
うん,うん,"yes (informal), all right (ok)",Genki Genki_Ln.8 JLPT JLPT_N4,AU=4aGU<;g,"ใช่ (ไม่เป็นทางการ), ตกลง (โอเค), ได้, โอเช",うん、いいよ。,อืม ได้สิ
発音,はつおん,pronunciation,JLPT JLPT_N4,ij2OK3T1KH,"การออกเสียง, การเปล่งเสียง, สำเนียง, เสียงพูด",この単語の発音は難しいです。,การออกเสียงคำศัพท์นี้ยาก
焼く,やく,"to bake, to grill",Genki Genki_Ln.21 JLPT JLPT_N4,ze5y7QDk;*,"อบ, ย่าง, ปิ้ง, ลน",魚を焼きます。,ย่างปลา
屋上,おくじょう,rooftop,JLPT JLPT_N4,dNyWHH2le2,"ดาดฟ้า, หลังคาตึก, ชานบนสุด, พื้นที่บนหลังคา",屋上で昼ごはんを食べました。,ทานอาหารกลางวันที่ดาดฟ้า
失礼,しつれい,"discourtesy, impoliteness; Excuse me",JLPT JLPT_N4,i}rJ2aUEQY,"ความไม่สุภาพ, การไม่พูดจาสุภาพ; ขอโทษค่ะ/ครับ, ไม่สุภาพ, ขออภัย",遅くなってすみません。失礼しました。,ขอโทษที่มาสายค่ะ/ครับ ขออภัยค่ะ/ครับ
ごみ,ごみ,"trash, garbage",Genki Genki_Ln.16 JLPT JLPT_N4,l0zGWz;u*B,"ขยะ, เศษขยะ, มูลฝอย, สิ่งปฏิกูล",ごみを捨ててください。,กรุณาทิ้งขยะ
アフリカ,アフリカ,Africa,JLPT JLPT_N4,s(eSC66i0(,"แอฟริกา, ทวีปแอฟริกา, ดินแดนแอฟริกา, ภูมิภาคแอฟริกา",アフリカに行ったことがありますか。,เคยไปแอฟริกาไหม
点,てん,"mark, score, grade; point, dot",Intermediate_Japanese_Ln.5 JLPT JLPT_N4,xl]z9.M3ii,"คะแนน, เกรด; จุด, แต้ม, มาร์ก",テストで良い点を取りました。,ได้คะแนนดีในการสอบ
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort",Intermediate_Japanese_Ln.5 JLPT JLPT_N4,x}#WG:x<B%,"ยากมาก (เช่น ""ทำงานหนัก"") ด้วยความพยายามอย่างสุดกำลัง, อย่างทุ่มเท, อย่างสุดความสามารถ, อย่างอุตสาหะ",一生懸命勉強しました。,ตั้งใจเรียนอย่างสุดความสามารถ
今度,こんど,"now, this time, near future, one of these days, next time",Genki Genki_Ln.9 JLPT JLPT_N4,"c3M,%sgpuH","ตอนนี้, เวลานี้, อนาคตอันใกล้, สักวันหนึ่ง, ครั้งหน้า",今度、うちに遊びに来てください。,ครั้งหน้า มาเที่ยวบ้านฉันนะ
機会,きかい,"chance, opportunity",JLPT JLPT_N4,QN(r}6a#1P,"โอกาส, จังหวะ, ช่องทาง, โอกาสอันดี",良い機会です。,เป็นโอกาสที่ดี
建てる,たてる,to build,JLPT JLPT_N4,p>?r}3Zl{s,"เพื่อสร้าง, ก่อสร้าง, สรรค์สร้าง, ปลูกสร้าง",新しい家を建てました。,สร้างบ้านใหม่แล้ว
複雑,ふくざつ,"complexity, complication",JLPT JLPT_N4,CH}=lqHM1.,"ความซับซ้อน ความยุ่งยาก, สลับซับซ้อน, ความยุ่งเหยิง, ยากลำบาก",この道は複雑です。,ถนนเส้นนี้ซับซ้อน
彼,かれ,"he, boyfriend",Genki Genki_Ln.12 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t}ZPEKulM{,"เขา แฟนหนุ่ม, ชายคนนั้น, แฟน, คู่ครอง",彼が来ます。,เขาจะมา
いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --",Genki Genki_Ln.19 JLPT JLPT_N4,q4xt(yor`^,"-- สำนวนแสดงความเคารพสำหรับ いく, くru และ いรู --, เรียนเชิญ, โปรดมา",どうぞ、お入りください。,เชิญเข้ามาข้างในได้เลยครับ/ค่ะ
布団,ふとん,futon,JLPT JLPT_N4,o9cl6;pq_D,"ฟูก, ที่นอน, เบาะรองนอน, เครื่องนอน",布団を干します。,ตากฟูก
大事,だいじ,"important, valuable, serious matter",JLPT JLPT_N4,K-;(kx?ed|,"เรื่องสำคัญ มีค่า และจริงจัง, สำคัญยิ่ง, มีความสำคัญ, เรื่องใหญ่",それは大事なことです。,เรื่องนั้นสำคัญมาก
贈り物,おくりもの,a gift; a present,Intermediate_Japanese_Ln.9 JLPT JLPT_N4,ea]7XukKd^,"ของขวัญ; ของกำนัล, ของฝาก, ของชำร่วย, ของที่ระลึก",誕生日プレゼントを贈りました。,มอบของขวัญวันเกิด
泥棒,どろぼう,thief; burglar,Genki Genki_Ln.21 JLPT JLPT_N4,q/[sonb>SP,"ขโมย; ผู้บุกรุก, โจร, ผู้ร้าย, ผู้ลักทรัพย์",泥棒に注意してください。,โปรดระวังขโมย
～製,～せい,made in ~,JLPT JLPT_N4,I|]_Gf;YLD,"ผลิตใน ~, ผลิตจาก ~, สร้างใน ~, ผลงานของ ~",これは日本製です。,นี่คือผลิตภัณฑ์จากญี่ปุ่น
注意,ちゅうい,"caution, attention",JLPT JLPT_N4,tSqn:MggQx,"ความระมัดระวัง ความใส่ใจ, ระมัดระวัง, ใส่ใจ, ความเอาใจใส่",注意して運転してください。,โปรดขับรถด้วยความระมัดระวัง
台風,たいふう,typhoon,Genki Genki_Ln.16 JLPT JLPT_N4,uFiu<};|%T,"ไต้ฝุ่น, พายุไต้ฝุ่น, พายุ, วาตะภัย",台風が来ています。,มีพายุไต้ฝุ่นกำลังมา
日,ひ,"sun, sunshine, day",Genki Genki_Ln.16 JLPT JLPT_N4,Ap$ELNr5>B,"ดวงอาทิตย์ แสงแดด วัน, สุริยะ, ตะวัน, กลางวัน",今日は良い日です。,วันนี้เป็นวันที่ดี
～軒,～けん,counter for houses,JLPT JLPT_N4,"KbFf,NH{5y","เคาน์เตอร์สำหรับบ้าน, ~ หลัง, ~ ครัวเรือน, ~ แห่ง",この町には、たくさんの家があります。,ในเมืองนี้มีบ้านมากมาย
そう,そう,"really, (is that) so; yes, right",JLPT JLPT_N4,wr0#d-auwR,"จริงเหรอ? ใช่ ถูกต้อง, จริงหรือ, จริงๆ, ใช่แล้ว",そうですね。,ใช่ค่ะ/ครับ
通る,とおる,"to pass (by), to go through",JLPT JLPT_N4,z?tZP}u#Ea,"ผ่านไป, ล่วงเลย, เดินผ่าน",この道を通ってください。,กรุณาเดินผ่านถนนเส้นนี้
過ぎる,すぎる,"to exceed, to go beyond",JLPT JLPT_N4,O_}jg<!z1-,"เกินกว่า, ก้าวข้ามไป, เกิน, ล้ำ",時間が過ぎました。,เวลาผ่านไปแล้ว
レポート; リポート,レポート; リポート,report,JLPT JLPT_N4,xai}>:G-4a,"รายงาน, รายงานผล, สรุป, การแจ้ง",レポートを提出しました。,ส่งรายงานแล้ว
葉,は,leaf,JLPT JLPT_N4,xQbxW<V1k4,"ใบไม้, แผ่นใบ, พืชใบ, กลีบใบ",木に葉がたくさんついています。,มีใบไม้งอกบนต้นไม้อยู่มาก
必要,ひつよう,necessary,JLPT JLPT_N4,ty_M]/QA_N,"จำเป็น, สำคัญ, ต้อง, ขาดไม่ได้",水が必要です。,ต้องการน้ำ
課長,かちょう,section manager,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,Q;5M-:Rtr;,"ผู้จัดการแผนก, หัวหน้าแผนก, ผู้บริหารส่วน, หัวหน้าส่วน",課長は忙しいです。,หัวหน้าแผนกยุ่ง
地震,じしん,earthquake,Genki Genki_Ln.15 JLPT JLPT_N4,DGTtnnC4Nd,"แผ่นดินไหว, ธรณีพิโรธ, ไหวสะเทือน, ดินไหว",地震がありました。,มีแผ่นดินไหว
すると,すると,"and, then",JLPT JLPT_N4,Fz>2(<Q3D%,"แล้วก็, จากนั้น, ต่อมา, ครั้นแล้ว",すると、ドアが開きました。,แล้วประตู ก็ เปิดออก
止める,やめる,"to end, to stop",JLPT JLPT_N4,w08D;C[*x`,"เพื่อยุติ เพื่อหยุด, จบ, เลิก, เสร็จสิ้น",仕事を辞めました。,ลาออกจากงานแล้ว
ガラス,ガラス,"glass, pane",JLPT JLPT_N4,Wl!XdU*F<,"กระจกบาน, แก้ว, แผ่นกระจก, กระจกใส",窓がガラスです。,หน้าต่างเป็นกระจก
～学部,～がくぶ,department of a university,JLPT JLPT_N4,qq2at6CGnZ,"ภาควิชาของมหาวิทยาลัย, คณะวิชา, สาขาวิชา, แผนกวิชา",経済学部で勉強しています。,กำลังเรียนที่คณะเศรษฐศาสตร์
厳しい,きびしい,hard; rigorous; strict,Genki Genki_Ln.13 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,pjG^I!L.;w,"ยาก; เข้มงวด; เคร่งครัด, แข็งขัน, ตึง, หนักหน่วง",この試験は非常に厳しいです。,การสอบนี้ยากมาก
エスカレーター,エスカレーター,escalator,JLPT JLPT_N4,y6e9BNnN(6,"บันไดเลื่อน, บันไดเลื่อนไฟฟ้า, บันไดอัตโนมัติ, บันไดเคลื่อน",エスカレーターで上に上がります。,ขึ้นไปข้างบนด้วยบันไดเลื่อน
人口,じんこう,population,Intermediate_Japanese_Ln.4 JLPT JLPT_N4,h:04.`><%U,"ประชากร, พลเมือง, ราษฎร, ผู้คน",この国の人口は多いです。,ประชากรของประเทศนี้มาก
月,つき,moon,Genki Genki_Ln.20 JLPT JLPT_N4,g.!8Tz-L0l,"ดวงจันทร์, จันทรา, พระจันทร์, ศศิธร",月がきれいですね。,พระจันทร์สวยจังเลยนะ
絹,きぬ,silk,JLPT JLPT_N4,tNV0})jEsh,"ผ้าไหม, ไหม, เส้นไหม, ใยไหม",この服は絹でできています。,เสื้อตัวนี้ทำจากผ้าไหม
ちっとも,ちっとも,not at all (neg. verb),JLPT JLPT_N4,p(lsw|$R1V,"ไม่เลย (กริยาปฏิเสธ), ไม่แม้แต่น้อย, ไม่นิดเลย, ไม่เลยสักนิด",ちっとも分かりません。,ไม่เข้าใจเลยสักนิด
深い,ふかい,"deep, profound",JLPT JLPT_N4,N%G$/Va72i,"ลึกซึ้ง ลึกซึ้งมาก, ลึก, กินใจ, สุดซึ้ง",この川は深いです。,แม่น้ำสายนี้ลึก
壊れる,こわれる,"to be broken, to break",JLPT JLPT_N4,PH#eB=.[|i,"แตกหัก, ทำให้แตก, เสียหาย, ชำรุด",車が壊れました。,รถเสียแล้ว
揺れる,ゆれる,"to shake, to sway",JLPT JLPT_N4,CJT@S-rGcq,"สั่นไหว โยกไปมา, ไหว, สั่น, คลอน",地震で家が揺れました。,บ้านสั่นไหวจากแผ่นดินไหว
落る,おちる,"to fall, to drop",JLPT JLPT_N4,QEWE{hX5.8,"ตก, หล่น, ร่วง, ตกลงมา",ペンが落ちました。,ปากกาหล่น
できるだけ,できるだけ,"if at all possible, as much as possible",JLPT JLPT_N4,z|27hHgqS.,"ถ้าเป็นไปได้ ให้มากที่สุดเท่าที่จะทำได้, เท่าที่จะเป็นไปได้, ให้มากที่สุด, สุดความสามารถ",できるだけ早く来てください。,กรุณามาให้เร็วที่สุดเท่าที่จะทำได้
悲しい,かなしい,"sad, sorrowful",Genki Genki_Ln.13 JLPT JLPT_N4,P[6ROxur[z,"เศร้าโศก, โศกเศร้า, เสียใจ, หม่นหมอง",悲しいニュースを聞きました。,ได้ยินข่าวเศร้า
中学校,ちゅうがっこう,junior high school pupil,JLPT JLPT_N4,o@F6a}&sDT,"นักเรียนมัธยมต้น, นักเรียน ม.ต้น, เด็กมัธยมต้น, ลูกศิษย์ ม.ต้น",中学校で働いています。,ทำงานที่โรงเรียนมัธยมต้น
ガス,ガス,gas,JLPT JLPT_N4,J0vS6#XFQP,"แก๊ส, ก๊าซ, ไอระเหย, สารก๊าซ",ガスコンロを使います。,ใช้เตาแก๊ส
祈る,いのる,to pray; to wish,JLPT JLPT_N4,gOVf)x5I|I,"เพื่ออธิษฐาน; เพื่อปรารถนา, ภาวนา, ขอพร, อธิษฐานขอ",幸せを祈ります。,ขอพรให้มีความสุข
盛ん,さかん,"prosperous, active, thriving",JLPT JLPT_N4,iN0&Vv}z1G,"มั่งคั่ง กระตือรือร้น เจริญรุ่งเรือง, รุ่งเรือง, เฟื่องฟู, คึกคัก",この町は経済が盛んです。,เศรษฐกิจของเมืองนี้คึกคัก
アルバイト,アルバイト,part-time job,Genki Genki_Ln.4 JLPT JLPT_N4,uhbB_H_zmK,"งานพาร์ทไทม์, งานนอกเวลา, งานเสริม, งานชั่วคราว",アルバイトを探しています。,กำลังหางานพาร์ทไทม์
起こす,おこす,to wake (someone) up,Genki Genki_Ln.16 JLPT JLPT_N4,e)?&!q93%0,"ปลุก (ใครบางคน) ให้ตื่น, ทำให้ตื่น, ปลุกให้ลุก, เรียกให้ตื่น",子供を起こします。,ปลุกเด็ก
致す,いたす,-- extra-modest expression for する --,Genki Genki_Ln.20 JLPT JLPT_N4,s{uMBFr}QR,"-- สำนวนที่ถ่อมตัวเป็นพิเศษสำหรับ sururu --, กระทำ, ปฏิบัติ, ดำเนินการ",ご迷惑をおかけいたします。,ขออภัยที่ก่อให้เกิดความเดือดร้อน
噛む,かむ,"to bite, to chew",JLPT JLPT_N4,E0N_YXN>-x,"กัด, เคี้ยว, ขบ, แทะ",リンゴを噛みます。,กัดแอปเปิ้ล
赤ちゃん,あかちゃん,"baby, infant",Genki Genki_Ln.21 JLPT JLPT_N4,s09]7w9[]D,"ทารก, เด็กทารก, ลูกอ่อน, เด็กเล็ก",赤ちゃんが笑っています。,ทารกกำลังหัวเราะ
浅い,あさい,"shallow, superficial",JLPT JLPT_N4,Bq97rav-&k,"ตื้นเขิน ผิวเผิน, ตื้น, ไม่ลึก, เผินๆ",この池は浅いです。,บ่อปลาแห่งนี้ตื้น
嘘,うそ,lie,JLPT JLPT_N4,dDVZZUX$0%,"โกหก, เท็จ, คำเท็จ, ปด",嘘をつかないでください。,อย่าโกหก
小説,しょうせつ,novel,Genki Genki_Ln.20 JLPT JLPT_N4,k;Wm8^zP:1,"นิยาย, นวนิยาย, เรื่องแต่ง, บันเทิงคดี",小説を読みます。,อ่านนิยาย
親,おや,a parent,Genki Genki_Ln.16 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,EM~YxWr$Fw,"ผู้ปกครอง, บิดามารดา, พ่อแม่, ผู้ดูแล",親に感謝しています。,ขอบคุณพ่อแม่
それに,それに,moreover; besides,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,q*Vh;RO@9L,"นอกจากนี้; ยิ่งไปกว่านั้น, อีกทั้ง, ยิ่งกว่านั้น, แถมยัง",この服はきれいです。それに、やすいです。,เสื้อตัวนี้สวยค่ะ และยังราคาถูกด้วย
