expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
倹約,けんやく,"thrift, economy, frugality",JLPT_1 JLPT,G)qGN7wCPF,"ความประหยัด ความมัธยัสถ์, การประหยัด, การมัธยัสถ์, การออม",倹約を心がけています。,กำลังพยายามที่จะประหยัด
原油,げんゆ,crude oil,JLPT_1 JLPT,mqzQ4phBV%,"น้ำมันดิบ, น้ำมันปิโตรเลียม, น้ำมันดิบเถื่อน, แหล่งน้ำมันดิบ",原油の価格が上がっています。,ราคาน้ำมันดิบกำลังสูงขึ้น
兼用,けんよう,"multi-use, combined use",JLPT_1 JLPT,Q[mY;6;Blm,"ใช้งานได้หลากหลาย ใช้งานร่วมกัน, อเนกประสงค์, ใช้ร่วมกัน, ใช้ประโยชน์ได้หลายอย่าง",この部屋は兼用できます。,ห้องนี้สามารถใช้ร่วมกันได้
権力,けんりょく,"(political) power, authority, influence",JLPT_1 JLPT,zLBVbQJht),"อำนาจทางการเมือง, อิทธิพล, สิทธิอำนาจ, พลังอำนาจ",権力者は誰ですか。,ผู้มีอำนาจคือใคร
言論,げんろん,"discussion, speech",JLPT_1 JLPT,j=]X!_Sn:<,"การอภิปราย การพูด, การถกเถียง, การปราศรัย, วาทศิลป์",言論の自由は大切です。,เสรีภาพในการแสดงความคิดเห็นเป็นสิ่งสำคัญ
故～,こ～,"deceased, late",JLPT_1 JLPT,l<k2Hl<qF:,"ผู้เสียชีวิต, ผู้ล่วงลับ, ผู้ตาย, ผู้ที่เสียชีวิต",故田中さんの家に行きました。,ไปบ้านของอดีตคุณทานากะ
語彙,ごい,"vocabulary, glossary",JLPT_1 JLPT,dg-x#L-S>s,"คำศัพท์, อภิธานศัพท์, ศัพท์, คำศัพท์เฉพาะ",新しい語彙を覚えています。,กำลังท่องจำคำศัพท์ใหม่
恋する,こいする,"to fall in love with, to love",JLPT_1 JLPT,x>yH@(e$>B,"ตกหลุมรัก, รัก, หลงรัก, มีใจให้",彼に恋しています。,กำลังตกหลุมรักเขา
甲,こう,1st in rank; shell,JLPT_1 JLPT,gr(P$T&hE),"อันดับ 1; เปลือกหอย, ยอดเยี่ยม, เปลือก, กระดอง",甲の成績を取りました。,ได้คะแนนอันดับหนึ่ง
～光,～こう,light,JLPT_1 JLPT,dR[Ye:I0gD,"แสงสว่าง, แสง, รัศมี, ความสว่าง",太陽の光がまぶしいです。,แสงแดดจ้าจนแสบตา
好意,こうい,"good will, favor, courtesy",JLPT_1 JLPT,f{|~G`MfSc,"ความปรารถนาดี ความโปรดปราน ความสุภาพ, มิตรภาพ, ความเอื้อเฟื้อ, น้ำใจ",好意で手伝ってくれました。,เขาช่วยด้วยความปรารถนาดี
行為,こうい,"act, deed, conduct",JLPT_1 JLPT,"x,?`vew_Y^","การกระทำ, การปฏิบัติ, พฤติกรรม, การดำเนินการ",その行為は許されません。,การกระทำนั้นไม่เป็นที่ยอมรับ
合意,ごうい,"agreement, consent, mutual understanding",JLPT_1 JLPT,u5DPHkD^67,"ข้อตกลง ความยินยอม ความเข้าใจร่วมกัน, ความเห็นพ้อง, การยินยอม, การตกลง",両者の合意が必要です。,ต้องการความตกลงจากทั้งสองฝ่าย
工学,こうがく,engineering,JLPT_1 JLPT,nLBSX>%S~{,"วิศวกรรม, วิศวกรรมศาสตร์, สาขาวิศวกรรม, การออกแบบวิศวกรรม",工学を勉強しています。,กำลังเรียนวิศวกรรมศาสตร์
抗議,こうぎ,"protest, objection",JLPT_1 JLPT,N%yl^:99*x,"การประท้วง การคัดค้าน, การคัดง้าง, การต่อต้าน, การแสดงความไม่เห็นด้วย",彼らは計画に抗議しました。,พวกเขาประท้วงแผนการ
合議,ごうぎ,"consultation, conference",JLPT_1 JLPT,g]f7CW]TnO,"การปรึกษาหารือ การประชุม, การเสวนา, การเจรจา, การพูดคุย",合議で決めましょう。,มาตัดสินใจโดยการปรึกษาหารือกันเถอะ
皇居,こうきょ,Imperial Palace,JLPT_1 JLPT,s3?rVk?BGD,"พระราชวังอิมพีเรียล, พระราชวังหลวง, วังจักรพรรดิ, ที่ประทับของจักรพรรดิ",皇居の近くを散歩しました。,ได้เดินเล่นใกล้พระราชวังอิมพีเรียล
好況,こうきょう,"prosperous conditions, healthy economy",JLPT_1 JLPT,w5c/V*0:/6,"สภาวะที่เจริญรุ่งเรือง เศรษฐกิจที่แข็งแกร่ง, ความเจริญรุ่งเรือง, เศรษฐกิจรุ่งเรือง, ความมั่งคั่ง",好況の時期はいつですか。,ช่วงที่เศรษฐกิจรุ่งเรืองคือเมื่อไร
鉱業,こうぎょう,mining industry,JLPT_1 JLPT,w)+*p6qI~s,"อุตสาหกรรมเหมืองแร่, การทำเหมือง, ธุรกิจเหมืองแร่, แหล่งเหมืองแร่",鉱業が盛んな町です。,เป็นเมืองที่อุตสาหกรรมเหมืองแร่เจริญรุ่งเรือง
興業,こうぎょう,starting a business; industry,JLPT_1 JLPT,qy~me*:#E{,"การเริ่มต้นธุรกิจ; อุตสาหกรรม, การก่อตั้งธุรกิจ, ภาคอุตสาหกรรม, การประกอบกิจการ",新しい会社を興業しました。,ได้ก่อตั้งบริษัทใหม่
高原,こうげん,"tableland, plateau",JLPT_1 JLPT,GF2Ak`BNv1,"ที่ราบสูง, ภูเขาที่ราบ, ลานสูง",高原に住んでいます。,อาศัยอยู่บนที่ราบสูง
交互,こうご,"mutual, reciprocal, alternate",JLPT_1 JLPT,i<WWSGhMtl,"ร่วมกัน, ต่างตอบแทน, สลับกัน, ซึ่งกันและกัน",交互に話しましょう。,มาพูดสลับกัน
煌々と,こうこうと,brightly,JLPT_1 JLPT,wYY;?*yl=I,"สว่างไสว, เจิดจ้า, แสงจ้า, สุกใส",街灯が煌々と照らしています。,ไฟถนนสว่างไสว
考古学,こうこがく,archeology,JLPT_1 JLPT,CYD1fRQ8EC,"โบราณคดี, โบราณวิทยา, วิชาโบราณคดี, การขุดค้นทางโบราณคดี",考古学に興味があります。,สนใจโบราณคดี
工作,こうさく,"handicraft, maneuvering",JLPT_1 JLPT,wzz*)FRo9<,"งานฝีมือ, การบังคับเรือ, หัตถกรรม, การควบคุม",工作をしました。,ได้ทำงานฝีมือ
耕作,こうさく,"cultivation, farming",JLPT_1 JLPT,hB|/|8Uy}2,"การเพาะปลูก การทำฟาร์ม, การกสิกรรม, การทำนา, การเพาะปลูกพืช",田んぼの耕作をしています。,กำลังทำการเพาะปลูกในนาข้าว
鉱山,こうざん,mine,JLPT_1 JLPT,"KT!enF:=,%","ของฉัน, ของข้าพเจ้า, ของผม, ของดิฉัน",鉱山から石を掘っています。,กำลังขุดหินจากเหมือง
講習,こうしゅう,"short course, training",JLPT_1 JLPT,g(z7%o&?^,"หลักสูตรระยะสั้น, การฝึกอบรม, คอร์สสั้น, การฝึกหัด",講習会に参加しました。,เข้าร่วมการฝึกอบรม
口述,こうじゅつ,verbal statement,JLPT_1 JLPT,C~8oU(cK0?,"คำกล่าวด้วยวาจา, คำพูด, แถลงการณ์ด้วยวาจา, การบอกเล่า",口述で記録しました。,ได้บันทึกด้วยการบอกเล่า
控除,こうじょ,"subsidy, deduction",JLPT_1 JLPT,s2uW?Na1t%,"เงินอุดหนุน, การหักลดหย่อน, เงินช่วยเหลือ, การลดหย่อน",税金が控除されました。,ภาษีถูกหักลดหย่อนแล้ว
交渉,こうしょう,negotiation,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,uv@U[?I@AF,"การเจรจา, การต่อรอง, การเจรจาต่อรอง, การพูดคุย",彼と交渉しました。,ได้เจรจากับเขา
高尚,こうしょう,"high, noble, refined",JLPT_1 JLPT,Ndw<}.:V2o,"สูงส่ง สง่างาม ประณีต, เลอค่า, มีเกียรติ, มีระดับ",高尚な趣味を持っています。,มีรสนิยมที่สูงส่ง
向上,こうじょう,"rise, improvement, progress",JLPT_1 JLPT,Qcz@t2UD0),"การเพิ่มขึ้น การปรับปรุง ความก้าวหน้า, การพัฒนา, การยกระดับ, ความเจริญ",スキル向上のために勉強しています。,กำลังเรียนเพื่อพัฒนาทักษะ
行進,こうしん,"march, parade",JLPT_1 JLPT,A=w}ZE@917,"เดินขบวน, พาเหรด, การเดินแถว, การสวนสนาม",軍隊が行進しました。,กองทหารได้เดินสวนสนาม
香辛料,こうしんりょう,spices,JLPT_1 JLPT,ce!{r.1}~3,"เครื่องเทศ, สมุนไพร, เครื่องปรุง, เครื่องปรุงรส",料理に香辛料を使います。,ใช้เครื่องเทศในการทำอาหาร
降水,こうすい,"rainfall, precipitation",JLPT_1 JLPT,"pb1#Y263n,","ปริมาณน้ำฝน, หยาดน้ำฟ้า, ปริมาณฝนตก",降水量は少ないです。,ปริมาณน้ำฝนน้อย
洪水,こうずい,flood,JLPT_1 JLPT,wakC-uKaq},"น้ำท่วม, อุทกภัย, น้ำหลาก, น้ำท่วมขัง",洪水で町が水浸しになりました。,เมืองถูกน้ำท่วม
合成,ごうせい,"synthetic, mixed",JLPT_1 JLPT,c^4E@A0[92,"สังเคราะห์ ผสม, การสังเคราะห์, การผสมผสาน, เคมีสังเคราะห์",これは合成ゴムです。,นี่คือยางสังเคราะห์
公然,こうぜん,openly,JLPT_1 JLPT,M(>QOkIhfA,"เปิดเผย, อย่างเปิดเผย, โดยเปิดเผย, โจ่งแจ้ง",公然と嘘をつきました。,โกหกอย่างเปิดเผย
抗争,こうそう,"dispute, resistance",JLPT_1 JLPT,Ayw{S[ULVi,"ข้อพิพาท การต่อต้าน, ข้อขัดแย้ง, การขัดขืน, การปะทะ",彼らは抗争しています。,พวกเขากำลังขัดแย้งกัน
構想,こうそう,"plan, plot, idea, conception",JLPT_1 JLPT,HJ3]TaFI5x,"แผน, โครงเรื่อง, แนวคิด, การวางแนวคิด",新しい計画の構想を練っています。,กำลังคิดแนวคิดสำหรับแผนใหม่
後退,こうたい,"retreat, backspace",JLPT_1 JLPT,Hg(g(Ch73j,"ถอยกลับ ลบออก, การถอย, การย้อนกลับ, การถอนตัว",後退はしません。,จะไม่ถอยหลัง
光沢,こうたく,"luster, glossy finish (of photographs)",JLPT_1 JLPT,sz+BIfx<J$,"ความเงางาม ผิวมันเงา (ของภาพถ่าย), ความแวววาว, ผิวเงา, มันวาว",写真に光沢があります。,รูปถ่ายมีความเงางาม
公団,こうだん,public corporation,JLPT_1 JLPT,C&5}~^z)ts,"บริษัทมหาชน, องค์กรสาธารณะ, รัฐวิสาหกิจ, หน่วยงานของรัฐ",公団から手紙が来ました。,จดหมายมาถึงจากองค์กรสาธารณะ
好調,こうちょう,"satisfactory, in good shape",JLPT_1 JLPT,fn+k2uN^.*,"น่าพอใจ อยู่ในสภาพดี, ดีเยี่ยม, อยู่ในเกณฑ์ดี, ราบรื่น",景気は好調です。,เศรษฐกิจอยู่ในสภาพดี
口頭,こうとう,oral,JLPT_1 JLPT,mWZ1nL&l+A,"ช่องปาก, ทางปาก, การใช้ปาก, เกี่ยวกับปาก",口頭で伝えます。,จะสื่อสารด้วยวาจา
講読,こうどく,reading,JLPT_1 JLPT,"cbt]L<,==)","การอ่าน, การอ่านหนังสือ, การศึกษา, การอ่านออกเสียง",先生が講読を始めました。,อาจารย์เริ่มการอ่าน
購読,こうどく,subscription,JLPT_1 JLPT,BPBnR~`=Cm,"การสมัครสมาชิก, การเป็นสมาชิก, ค่าสมาชิก, การลงทะเบียน",新聞を購読しています。,สมัครรับหนังสือพิมพ์
購入,こうにゅう,"purchase, buy",JLPT_1 JLPT,mN.]${Ep@o,"ซื้อ, จัดซื้อ, การซื้อของ",本を購入しました。,ได้ซื้อหนังสือ
公認,こうにん,"official recognition, authorization",JLPT_1 JLPT,f=;(Z+KSn*,"การรับรองอย่างเป็นทางการ การอนุญาต, การรับรอง, การอนุมัติ, การอนุญาตอย่างเป็นทางการ",公認の団体です。,เป็นองค์กรที่ได้รับการรับรองอย่างเป็นทางการ
光熱費,こうねつひ,cost of fuel and light,JLPT_1 JLPT,CBInEbAiwn,"ค่าใช้จ่ายด้านเชื้อเพลิงและแสงสว่าง, ค่าไฟ, ค่าน้ำมัน, ค่าเชื้อเพลิง",光熱費を節約します。,จะประหยัดค่าไฟและค่าน้ำ
購買,こうばい,"purchase, buy",JLPT_1 JLPT,m|%voYE^yW,"ซื้อ, การซื้อ, การจัดซื้อ",商品の購買を検討しています。,กำลังพิจารณาการซื้อสินค้า
好評,こうひょう,"popularity, favorable reputation",JLPT_1 JLPT,PN?X>r5#3$,"ความนิยม ชื่อเสียงที่ดี, เป็นที่นิยม, ชื่อเสียงอันดี, มีชื่อเสียง",この映画は好評です。,ภาพยนตร์เรื่องนี้ได้รับความนิยม
交付,こうふ,"delivering, furnishing (with copies)",JLPT_1 JLPT,iWHq@iV7/S,"ส่งมอบ, จัดหา (พร้อมสำเนา), การจัดส่ง, การส่งมอบ",証明書を交付します。,จะออกใบรับรอง
公募,こうぼ,"public appeal, public contribution",JLPT_1 JLPT,zuO/%#|pw9,"การเรียกร้องจากประชาชน การบริจาคจากประชาชน, การระดมทุน, การรับบริจาค, การเรียกร้องให้ประชาชนเข้าร่วม",公募で参加者を募集します。,จะรับสมัครผู้เข้าร่วมผ่านการเปิดรับทั่วไป
巧妙,こうみょう,"ingenious, skillful, clever",JLPT_1 JLPT,K0cz7g4lOn,"ชาญฉลาด มีทักษะ ฉลาด, แยบยล, เก่งกาจ, ฉลาดหลักแหลม",巧妙な手口でした。,เป็นกลอุบายที่แยบยล
公用,こうよう,"government business, public use, public expense",JLPT_1 JLPT,E{n/tl9=Ih,"กิจการของรัฐ, การใช้งานสาธารณะ, ค่าใช้จ่ายสาธารณะ, การบริการสาธารณะ",公用車を使います。,จะใช้รถยนต์ราชการ
小売,こうり,retail,JLPT_1 JLPT,c_Z6-bZ>!E,"ขายปลีก, การค้าปลีก, ร้านค้าปลีก, การขายสินค้าปลีก",小売店で買いました。,ซื้อจากร้านค้าปลีก
効率,こうりつ,efficiency,JLPT_1 JLPT,zkc6-]4~)6,"ประสิทธิภาพ, ประสิทธิผล, ความสามารถ, การทำงานที่มีประสิทธิภาพ",効率を上げたいです。,ต้องการเพิ่มประสิทธิภาพ
公立,こうりつ,public institution,JLPT_1 JLPT,FUSldz(S$f,"สถาบันสาธารณะ, หน่วยงานสาธารณะ, องค์กรสาธารณะ, สถาบันของรัฐ",公立の学校に通っています。,กำลังเรียนในโรงเรียนรัฐบาล
護衛,ごえい,"guard, convoy, escort",JLPT_1 JLPT,Bs7a.5p1{r,"ยาม, ขบวน, คุ้มกัน, การอารักขา",大統領の護衛をします。,จะอารักขาประธานาธิบดี
コーナー,コーナー,corner,JLPT_1 JLPT,n/T(.dj~.j,"มุม, หัวมุม, ซอกมุม, เหลี่ยมมุม",部屋のコーナーに棚があります。,มีชั้นวางของอยู่ที่มุมห้อง
小柄,こがら,"small, diminutive",JLPT_1 JLPT,p|m2.?zBm2,"เล็กจิ๋ว, กระจิ๋วหลิว, เล็กนิดเดียว, จิ๋ว",小柄な女性です。,เป็นผู้หญิงร่างเล็ก
小切手,こぎって,"cheque, check",JLPT_1 JLPT,vh>Pgi:y!n,"เช็ค เช็ค, ตั๋วแลกเงิน, เช็คเงินสด, เช็คธนาคาร",小切手で支払いました。,จ่ายด้วยเช็ค
国産,こくさん,domestic products,JLPT_1 JLPT,NVGuI`wyWr,"ผลิตภัณฑ์ภายในประเทศ, สินค้าในประเทศ, สินค้าท้องถิ่น, ผลิตผลในประเทศ",国産の車が好きです。,ชอบรถยนต์ที่ผลิตในประเทศ
国定,こくてい,"state-sponsored, national",JLPT_1 JLPT,K:.NA{MA#,"ได้รับการสนับสนุนจากรัฐบาล ระดับชาติ, ของชาติ, ระดับประเทศ, ได้รับการอุดหนุนจากรัฐ",国定公園を訪れました。,ได้ไปเยี่ยมชมอุทยานแห่งชาติ
告白,こくはく,"confession, acknowledgment",JLPT_1 JLPT,D/-Yon@zj7,"การสารภาพ การยอมรับ, คำสารภาพ, การรับผิด, การเปิดเผย",自分の過ちを告白しました。,ได้สารภาพความผิดของตนเอง
国防,こくぼう,national defense,JLPT_1 JLPT,gB_-ioo>5E,"การป้องกันประเทศ, การปกป้องประเทศ, กลาโหม, การป้องกันชาติ",国防は国の義務です。,การป้องกันประเทศเป็นหน้าที่ของชาติ
国有,こくゆう,national ownership,JLPT_1 JLPT,qhprC(Et1a,"การเป็นเจ้าของระดับชาติ, การเป็นเจ้าของของรัฐ, การถือครองของชาติ, ของรัฐบาล",国有林を管理しています。,กำลังจัดการป่าสงวนของรัฐ
極楽,ごくらく,paradise,JLPT_1 JLPT,MY-u/w:|X`,"สวรรค์, อุทยานสวรรค์, แดนสุขาวดี, ภพภูมิที่ดี",極楽浄土に行きたいです。,อยากไปสวรรค์
国連,こくれん,"U.N., United Nations",JLPT_1 JLPT,PWdSCAXCS{,"สหประชาชาติ, องค์การสหประชาชาติ, องค์กรระหว่างประเทศ, UN",国連の会議に参加しました。,เข้าร่วมการประชุมของสหประชาชาติ
焦げ茶,こげちゃ,dark brown,JLPT_1 JLPT,z#D(l+D|+d,"สีน้ำตาลเข้ม, สีกาแฟ, สีโกโก้, สีน้ำตาลแก่",焦げ茶色のシャツを着ています。,กำลังใส่เสื้อสีน้ำตาลเข้ม
語源,ごげん,"word root, word derivation, etymology",JLPT_1 JLPT,"wW7;mB,H-n","รากศัพท์, การสร้างคำ, นิรุกติศาสตร์, ที่มาของคำ",この言葉の語源を調べます。,จะค้นหารากศัพท์ของคำนี้
心地,ここち,"feeling, sensation, mood",JLPT_1 JLPT,HRZ-ZZ((63,"ความรู้สึก, สัมผัส, อารมณ์, จิตใจ",心地よい風が吹いています。,ลมพัดสบายใจ
心得,こころえ,"knowledge, information",JLPT_1 JLPT,r]B:&#9/Oj,"ความรู้ ข้อมูล, ความรู้ความเข้าใจ, ข่าวสาร, องค์ความรู้",その心得を教えてください。,กรุณาสอนความรู้นั้นให้ผมหน่อย
心掛け,こころがけ,"readiness, intention, aim",JLPT_1 JLPT,v|gKw*kSA<,"ความพร้อม ความตั้งใจ เป้าหมาย, ความพร้อมเพรียง, จุดมุ่งหมาย, ความมุ่งมั่น",常に心掛けたいことです。,เป็นสิ่งที่อยากจะนึกถึงอยู่เสมอ
心掛ける,こころがける,"to bear in mind, to aim to do",JLPT_1 JLPT,xF|-#cu_O[,"ที่ต้องคำนึงถึง, ที่ตั้งเป้าหมายที่จะทำ, ระลึกไว้, ตั้งใจจะทำ",健康を心掛けてください。,โปรดใส่ใจสุขภาพ
志,こころざし,"will, intention, motive",JLPT_1 JLPT,J^EH*N|S>D,"เจตจำนง ความตั้งใจ แรงจูงใจ, ความประสงค์, แรงบันดาลใจ, ความมุ่งหมาย",高い志を持っています。,มีความมุ่งหมายที่สูงส่ง
志す,こころざす,"to plan, to intend, to aspire to",JLPT_1 JLPT,zc/071N?*?,"วางแผน, ตั้งใจ, มุ่งหวัง, ปรารถนา",医者になることを志しています。,มุ่งหวังที่จะเป็นหมอ
心強い,こころづよい,"heartening, reassuring",JLPT_1 JLPT,K>pZg]2z_[,"น่ายินดี น่าอุ่นใจ, สบายใจ, เบาใจ, พึงพอใจ",友達がいて心強いです。,มีเพื่อนอยู่ด้วยจึงรู้สึกอุ่นใจ
心細い,こころぼそい,"helpless, hopeless, discouraging",JLPT_1 JLPT,ve[sU52iIO,"หมดหนทาง สิ้นหวัง ท้อแท้, อับจน, หมดกำลังใจ, ไม่มีทางออก",一人でいると心細いです。,รู้สึกอ้างว้างเมื่ออยู่คนเดียว
試み,こころみ,"trial, experiment",JLPT_1 JLPT,LnQ-7#~J-i,"การทดลอง, การทดสอบ, การลอง",新しい方法を試みました。,ได้ลองใช้วิธีการใหม่
試みる,こころみる,"to try, to test",JLPT_1 JLPT,qG!ugw]O{9,"เพื่อลอง เพื่อทดสอบ, ทดสอบ, ทดลอง, ลองดู",この料理を試してみてください。,ลองชิมอาหารจานนี้ดู
快い,こころよい,"pleasant, agreeable",JLPT_1 JLPT,eXTY5f2Ubn,"น่าพอใจ, สบายใจ, พอใจ, ถูกใจ",快い音楽が流れています。,เพลงที่น่าพอใจกำลังเล่นอยู่
誤差,ごさ,error,JLPT_1 JLPT,bE*}iimu/k,"ข้อผิดพลาด, ความผิดพลาด, จุดผิดพลาด, การทำผิด",測定に誤差がありました。,มีการคลาดเคลื่อนในการวัด
ございます (かん),ございます (かん),"to be (polite, to exist)",JLPT_1 JLPT,g2<)LlaRj=,"เพื่อเป็น (อย่างสุภาพ คือ เพื่อดำรงอยู่), เป็นอยู่, มีอยู่, ดำรงอยู่",どうぞ、お座りください。,กรุณานั่ง
孤児,こじ,orphan,JLPT_1 JLPT,Nru>c@<pc2,"เด็กกำพร้า, ลูกกำพร้า, เด็กที่ไม่มีพ่อแม่, เด็กที่ไร้ผู้ปกครอง",孤児を支援する団体があります。,มีองค์กรที่สนับสนุนเด็กกำพร้า
こじれる,こじれる,"to get complicated, to grow worse",JLPT_1 JLPT,jQE(/ITykr,"ซับซ้อนขึ้น แย่ลง, ยุ่งยากขึ้น, เลวร้ายลง, วุ่นวายขึ้น",問題がこじれています。,ปัญหากำลังซับซ้อนขึ้น
こす (みずを～),こす (みずを～),"to strain, to filter",JLPT_1 JLPT,P2WNAwMh[2,"เพื่อกรอง เพื่อแยกส่วน, กรอง, แยกออก, ร่อน",水をこしてください。,กรุณารินน้ำ
梢,こずえ,treetop,JLPT_1 JLPT,"P{..MI,|Mb","ยอดไม้, ปลายไม้, เรือนยอด, ส่วนบนของต้นไม้",梢に鳥がいます。,มีนกอยู่บนยอดไม้
個性,こせい,"individuality, personality, idiosyncrasy",JLPT_1 JLPT,EsL6l#sj?m,"ความเป็นเอกลักษณ์ บุคลิกภาพ ความแปลกประหลาดเฉพาะตัว, ลักษณะเฉพาะ, อัตลักษณ์, เอกลักษณ์",個性的なデザインですね。,เป็นการออกแบบที่มีเอกลักษณ์ดีนะ
戸籍,こせき,"census, family register",JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,JOc{[NV4x8,"สำมะโนประชากร ทะเบียนครอบครัว, ทะเบียนราษฎร, สำมะโนครัว, บันทึกทะเบียนครอบครัว",戸籍謄本を取りました。,ได้คัดสำเนาทะเบียนราษฎร
古代,こだい,ancient times,JLPT_1 JLPT,s_N1oO.lmA,"สมัยโบราณ, ยุคโบราณ, อดีตกาล, สมัยก่อน",古代の遺跡を見ました。,ได้เห็นซากปรักหักพังโบราณ
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well",JLPT_1 JLPT,O}EMl{I]K-,"โต๊ะพร้อมเครื่องทำความร้อน (เดิมที) เตาถ่านในช่องพื้น, โต๊ะอุ่น, เตาอุ่น, เครื่องทำความร้อนในโต๊ะ",こたつで暖まっています。,กำลังอุ่นตัวอยู่ใต้โต๊ะโคทัตสึ
こだわる,こだわる,"to fuss over, to be particular about",JLPT_1 JLPT,Dw-&[Gy8N`,"เอาใจใส่เป็นพิเศษ, พิถีพิถัน, ใส่ใจเป็นพิเศษ, จู้จี้",細部にこだわります。,พิถีพิถันในรายละเอียด
誇張,こちょう,exaggeration,JLPT_1 JLPT,c]NsRC|}O%,"การพูดเกินจริง, การกล่าวเกินจริง, การพูดโอ้อวด, การเกินจริง",彼の話は誇張が多いです。,เรื่องที่เขาเล่ามักจะพูดเกินจริง
こつ (をつかむ),こつ (をつかむ),"secret, trick, hang",JLPT_1 JLPT,qPHur}V8b$,"ความลับ, กลอุบาย, การแขวน, เคล็ดลับ",コツをつかみました。,จับเคล็ดลับได้แล้ว
滑稽,こっけい,"funny, humorous, comical",JLPT_1 JLPT,v>_m`mFbvz,"ตลก, ขำขัน, เรื่องตลก",彼の冗談は滑稽でした。,มุกตลกของเขาตลกมาก
国交,こっこう,diplomatic relations,JLPT_1 JLPT,d-(zI.D]7},"ความสัมพันธ์ทางการทูต, ความสัมพันธ์ระหว่างประเทศ, การทูต, สัมพันธไมตรี",二国間の国交が始まりました。,ความสัมพันธ์ทางการทูตระหว่างสองประเทศได้เริ่มต้นขึ้น
骨董品,こっとうひん,curio,JLPT_1 JLPT,Dr0mqScf_b,"ของแปลก, ของเก่า, ของสะสม, สิ่งประหลาด",骨董品店で買い物をしました。,ได้ไปซื้อของที่ร้านขายของเก่า
固定,こてい,"fixation, fixing (e.g., salary, capital)",JLPT_1 JLPT,g$6E|N|S:$,"การตรึง, การกำหนด (เช่น เงินเดือน, ทุน), การตรึงราคา",席は固定されています。,ที่นั่งถูกกำหนดไว้แล้ว
事柄,ことがら,"matter, thing, affair, circumstance",JLPT_1 JLPT,F=ad!I0A}O,"เรื่อง, สิ่งของ, เรื่องราว, สถานการณ์",その事柄について話しましょう。,มาคุยกันเรื่องนั้นกันเถอะ
