expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
～校,～こう,counter for school,JLPT JLPT_2,m]41H0.3l-,"เคาน์เตอร์สำหรับโรงเรียน, ~ สถานศึกษา, ~ สถาบัน, ~ วิทยาลัย",これは有名な学校です。,นี่คือโรงเรียนที่มีชื่อเสียง
～港,～こう,~ port,JLPT JLPT_2,vQbZYeISYX,"~ ท่าเรือ, ~ อ่าว, ~ ท่า, ~ แหล่งจอดเรือ",ここは大きな港です。,ที่นี่เป็นท่าเรือใหญ่
～号,～ごう,counter for magazine; the name of ship,JLPT JLPT_2,qiAK;eRQt!,"ตัวนับสำหรับนิตยสาร; ชื่อเรือ, ~ ฉบับ (นิตยสาร), ~ ลำ (เรือ), ~ หมายเลข",これは第5号の雑誌です。,นี่คือนิตยสารฉบับที่ 5
～国,～こく,nation of ~,JLPT JLPT_2,m~(IN:3:#0,"ประเทศของ ~, ชาติของ ~, ดินแดนของ ~, รัฐของ ~",これは有名な国です。,นี่คือประเทศที่มีชื่อเสียง
～毎,～ごと,"every ~, each ~",JLPT JLPT_2,Bs7#M8Tn1H,"ทุกๆ ~, แต่ละ ~, ทุกครั้ง ~, ทีละ ~",一週間毎に掃除をします。,ฉันจะทำความสะอาดทุกสัปดาห์
～山,～さん,the name of mountain,JLPT JLPT_2,vw^f*9f$12,"ชื่อของภูเขา, ~ ภูเขา, ~ ดอย, ~ ยอดเขา",これは富士山です。,นี่คือภูเขาไฟฟูจิ
～産,～さん,made in ~,JLPT JLPT_2,tJtC7!P@]H,"ผลิตใน ~, ผลิตจาก ~, สร้างใน ~, ทำใน ~",これは国産の車です。,นี่คือรถยนต์ที่ผลิตในประเทศ
～史,～し,history of ~,JLPT JLPT_2,y`(f6xau3#,"ประวัติศาสตร์ของ ~, พงศาวดารของ ~, เรื่องราวของ ~, อดีตของ ~",これは日本の歴史です。,นี่คือประวัติศาสตร์ญี่ปุ่น
～紙,～し,"newspaper, type of paper",JLPT JLPT_2,y0d}(mMiCt,"หนังสือพิมพ์ ประเภทของกระดาษ, กระดาษ, เอกสาร, แผ่นกระดาษ",この紙はきれいです。,กระดาษแผ่นนี้สวย
～寺,～じ,the name of temple,JLPT JLPT_2,Nj@/ru^JH5,"ชื่อของวัด, ~ อาราม, ~ โบสถ์, ~ วิหาร",これは古いお寺です。,นี่คือวัดเก่า
～時間目,～じかんめ,"~th hour, ~th period",JLPT JLPT_2,LonTM0:Ie8,"ชั่วโมงที่ ~, คาบที่ ~, ~ คาบเรียน, ~ ครั้งที่",これは三時間目です。,นี่คือคาบเรียนที่สาม
～室,～しつ,counter for room,JLPT JLPT_2,eycwn`U+hZ,"เคาน์เตอร์สำหรับห้อง, ~ ห้อง, ~ ส่วนของห้อง, ~ แผนกห้อง",これは会議室です。,นี่คือห้องประชุม
～日,～じつ,day,JLPT JLPT_2,jkFuTgpXi`,"วัน, วันที่, กลางวัน, รายวัน",今日の午後は晴れです。,ช่วงบ่ายวันนี้อากาศแจ่มใส
～車,～しゃ,~ car,JLPT JLPT_2,h)<Q^X85ag,"~ รถยนต์, ~ รถ, ~ ยานพาหนะ, ~ พาหนะ",これは私の車です。,นี่คือรถของฉัน
～者,～しゃ,person,JLPT JLPT_2,MTv(a]7l!6,"บุคคล, ผู้คน, คน, สมาชิก",彼は親切な人です。,เขาเป็นคนใจดี
～社,～しゃ,counter for company,JLPT JLPT_2,sQmjhXA-Mr,"เคาน์เตอร์สำหรับบริษัท, ~ บริษัท, ~ ห้างหุ้นส่วน, ~ องค์กร",これは有名な会社です。,นี่คือบริษัทที่มีชื่อเสียง
～手,～しゅ,"~ player, person who does ~",JLPT JLPT_2,IkixzX56yl,"~ ผู้เล่น, บุคคลที่ทำ ~, ~ นักแสดง, ~ ฝีมือ",彼はサッカーの選手です。,เขาเป็นนักฟุตบอล
～酒,～しゅ,kind of alcohol,JLPT JLPT_2,k?BC&(RjAH,"แอลกอฮอล์ชนิดหนึ่ง, เหล้า, เครื่องดื่มแอลกอฮอล์, สุรา",この酒はとてもおいしいです。,เหล้าสาเกนี้อร่อยมาก
～集,～しゅう,collection of ~,JLPT JLPT_2,LdT;R@utl1,"คอลเลกชันของ ~, รวม ~, ชุด ~, การรวบรวมของ ~",これは写真集です。,นี่คืออัลบั้มภาพถ่าย
～所,～しょ,place,JLPT JLPT_2,qVV9fum9%7,"สถานที่, ที่ตั้ง, บริเวณ, ถิ่น",これは駅の場所です。,นี่คือที่ตั้งของสถานี
～所,～じょ,place,JLPT JLPT_2,cE:Y(}3[Wc,"สถานที่, แห่ง, จุด, ตำแหน่ง",ここは危ない所です。,ที่นี่เป็นสถานที่อันตราย
～女,～じょ,count for sisters,JLPT JLPT_2,D4j(w~c1gi,"นับสำหรับพี่สาวน้องสาว, ~ คน (สำหรับผู้หญิง), ~ หญิง, ~ ราย (สำหรับผู้หญิง)",これは三女です。,นี่คือลูกสาวคนที่สาม
～省,～しょう,kind of ministry,JLPT JLPT_2,v9~DY$oS}A,"ประเภทของกระทรวง, ~ กระทรวง, ~ ทบวง, ~ กรม",これは外務省の建物です。,นี่คืออาคารของกระทรวงการต่างประเทศ
～商,～しょう,"merchant, business",JLPT JLPT_2,DK0!oyaXJR,"พ่อค้า นักธุรกิจ, ผู้ประกอบการ, ผู้ค้า, นักการค้า",彼は有名な商人です。,เขาเป็นพ่อค้าที่มีชื่อเสียง
～勝,～しょう,count for victory,JLPT JLPT_2,E_qw?Tzvk_,"นับเพื่อชัยชนะ, ~ ครั้งที่ชนะ, ~ ชัยชนะ, ~ การได้เปรียบ",これは昨日の試合の勝です。,นี่คือชัยชนะของเกมเมื่อวาน
～条,～じょう,counter for article,JLPT_1 JLPT JLPT_2,q^S9+[e=*b,"ตัวนับสำหรับบทความ, ~ ข้อ, ~ มาตรา, ~ อนุมาตรา",これは法律の第一条です。,นี่คือมาตรา 1 ของกฎหมาย
～場,～じょう,"kind of field, ground",JLPT JLPT_2,eh5O)[W8C@,"ประเภทของทุ่งนา, พื้นดิน, ~ สนาม, ~ สถานที่",ここは広い場所です。,ที่นี่เป็นพื้นที่กว้าง
～畳,～じょう,"count for tatami, mat",JLPT JLPT_2,gXTr~P6_;?,"นับสำหรับเสื่อทาทามิ, ~ แผ่น (เสื่อ), ~ ผืน (เสื่อ), ~ ชิ้น (เสื่อ)",この部屋は六畳です。,ห้องนี้มีขนาด 6 เสื่อทาทามิ
～色,～しょく,kind of color,JLPT JLPT_2,w$+z1REIYB,"สีชนิดหนึ่ง, ~ สี, ~ โทนสี, ~ เฉดสี",この色は青色です。,สีนี้คือสีฟ้า
～過ぎる,～すぎる,too much ~,JLPT JLPT_2,"P,ja3J!YLK","มากเกินไป ~, เกินไป ~, มากไป ~, เหลือล้น ~",これは美味しすぎます。,นี่อร่อยเกินไป
～済,～ずみ,finished,JLPT JLPT_2,ncGw.Yh;>r,"ที่เสร็จเรียบร้อย, เสร็จสิ้น, เรียบร้อยแล้ว, เสร็จสมบูรณ์",宿題はもう済んでいます。,การบ้านเสร็จแล้ว
～席,～せき,counter for seats,JLPT JLPT_2,sr9PdG~4;[,"เคาน์เตอร์สำหรับที่นั่ง, ~ ที่นั่ง, ~ ตำแหน่งที่นั่ง, ~ เก้าอี้",これは私の席です。,นี่คือที่นั่งของฉัน
～船,～せん,counter for ships,JLPT JLPT_2,JSy<S}QGsV,"เคาน์เตอร์สำหรับเรือ, ~ ลำ (เรือ), ~ ลำเรือ, ~ การเดินเรือ",この船は大きいです。,เรือลำนี้ใหญ่
～戦,～せん,"counter for games, matches",JLPT JLPT_2,M$gHOq[jYN,"ตัวนับเกม การแข่งขัน, ~ เกม, ~ รอบ, ~ นัด",これは第一戦です。,นี่คือเกมแรก
～前,～ぜん,before ~,JLPT JLPT_2,DTK5j`gi24,"ก่อน ~, หน้า ~, ข้างหน้า ~, ก่อนหน้า ~",これは朝ごはんの前です。,นี่คือเวลาก่อนอาหารเช้า
～沿い,～そい,along,JLPT JLPT_2,"sbv*I,a%(h","ตาม, เลียบ ~, ริม ~, ขนาน ~",川沿いを散歩しました。,ฉันเดินเล่นริมแม่น้ำ
～艘,～そう,counter for ships,JLPT JLPT_2,AT^w8|Z/Tg,"เคาน์เตอร์สำหรับเรือ, ~ ลำ (เรือ), ~ เรือ, ~ พาหนะทางน้ำ",この船は大きい船です。,เรือลำนี้เป็นเรือใหญ่
～足,～そく,counter for shoes,JLPT JLPT_2,q&YH/C!y&b,"เคาน์เตอร์ขายรองเท้า, ~ คู่ (รองเท้า), ~ ข้าง (รองเท้า), ~ รองเท้า",これは新しい靴です。,นี่คือรองเท้าคู่ใหม่
～だらけ,～だらけ,"be full of ~, be filled with ~",JLPT JLPT_2,C*zDXpDGOo,"เต็มไปด้วย ~, มีแต่ ~, เปื้อน ~, เกลื่อน",この服は埃だらけです。,เสื้อผ้านี้เต็มไปด้วยฝุ่น
～団,～だん,"group, corps, party",JLPT JLPT_2,"JAUz(u,OT1","กลุ่ม, กองทัพ, พรรค, หมู่คณะ",これは子供たちの団です。,นี่คือกลุ่มของเด็กๆ
～着,～ちゃく,counter for clothes; finishing place,JLPT JLPT_2,LNy/i0~?h*,"เคาน์เตอร์สำหรับเสื้อผ้า; สถานที่ตกแต่งขั้นสุดท้าย, ~ ตัว (เสื้อผ้า), ~ ชิ้น (เสื้อผ้า), ~ ปลายทาง",これは新しい服です。,นี่คือเสื้อผ้าชุดใหม่
～庁,～ちょう,"office, agency",JLPT JLPT_2,Nh*HbZ~CkX,"สำนักงาน หน่วยงาน, กรม, ทบวง, องค์กร",これは警察庁です。,นี่คือสำนักงานตำรวจแห่งชาติ
～兆,～ちょう,trillion,JLPT JLPT_2,jHeL$YV:ox,"ล้านล้าน, พันพันล้าน, เลขขนาดใหญ่, จำนวนมหาศาล",これは一兆円です。,นี่คือหนึ่งล้านล้านเยน
～長,～ちょう,"leader, head",JLPT JLPT_2,i0hy<f%]dq,"ผู้นำ, หัวหน้า, ประธาน, ผู้บริหาร",彼は部長です。,เขาเป็นหัวหน้าแผนก
～帳,～ちょう,"~ book, notebook",JLPT JLPT_2,e.I(|go>z(,"~ หนังสือ, สมุดบันทึก, ~ บันทึก, ~ สมุด",これは日記帳です。,นี่คือสมุดบันทึกประจำวัน
～丁目,～ちょうめ,"~ district (of a town; city, block)",JLPT JLPT_2,z[Zeu>wor`,"~ เขต (ของเมือง; เขต/บล็อก), ~ แขวง, ~ ย่าน, ~ ละแวก",これは三丁目の角です。,นี่คือหัวมุมถนนเขต 3
～通,～つう,counter for letters,JLPT JLPT_2,gcs`gQZBri,"ตัวนับตัวอักษร, ~ ฉบับ (จดหมาย), ~ ข้อความ, ~ ประโยค",これは二通の手紙です。,นี่คือจดหมายสองฉบับ
～遣い,～づかい,use of ~,JLPT JLPT_2,C?GOcbN8fi,"การใช้ ~, การนำไปใช้ ~, การใช้ประโยชน์จาก ~, การใช้สอย ~",この言葉遣いが好きです。,ฉันชอบการใช้คำพูดนี้
～付,～つき,with ~,JLPT JLPT_2,L%2+~L_:IY,"กับ ~, พร้อม ~, มี ~, แนบ ~",これは鍵付きの部屋です。,นี่คือห้องที่มีกุญแจ
～続く,～つづく,"follow, continue, go on",JLPT JLPT_2,u%o(or2@%{,"ติดตาม ต่อไป เดินหน้าต่อไป, ดำเนินต่อ, สืบเนื่อง, สานต่อ",雨が降り続きます。,ฝนยังคงตกต่อไป
～辛い,～づらい,hard to do ~,JLPT JLPT_2,u@W}x:nhL8,"ยากที่จะทำ ~, ทำได้ยาก ~, ทำลำบาก ~, เป็นไปได้ยาก ~",これは言いにくいことです。,นี่เป็นเรื่องที่พูดได้ยาก
～滴,～てき,drop,JLPT JLPT_2,J%ti108Zf0,"หยด, ~ หยด, ~ เม็ด (ของเหลว), ~ นิดหน่อย",この薬は二滴ずつ飲んでください。,กรุณากินยานี้ทีละสองหยด
～点,～てん,counter for scores,JLPT JLPT_2,Q=wx{JnD0/,"ตัวนับคะแนน, ~ คะแนน, ~ แต้ม, ~ จุด",テストで100点を取りました。,ฉันได้ 100 คะแนนในการสอบ
～頭,～とう,counter for animals,JLPT JLPT_2,Q04jNq<%}1,"ตัวนับสำหรับสัตว์, ~ ตัว (สัตว์ใหญ่), ~ สัตว์, ~ จำนวนสัตว์",これは二頭の牛です。,นี่คือวัวสองตัว
～等,～とう,"level, place",JLPT JLPT_2,t~N);db(/R,"ระดับ, สถานที่, ชนชั้น, ลำดับ",これは上等な品物です。,นี่คือสินค้าเกรดดี
～島,～とう,kind of islands,JLPT JLPT_2,xDO?MQ[t-7,"เกาะประเภทหนึ่ง, ~ เกาะ, ~ หมู่เกาะ, ~ ดินแดนเกาะ",これは有名な島です。,นี่คือเกาะที่มีชื่อเสียง
～道,～どう,"kind of path, road",JLPT JLPT_2,NK#jvaQLbz,"ทางเดิน ถนน, เส้นทาง, วิถี, หนทาง",これは一本道です。,นี่คือถนนตรงเส้นเดียว
～通り,～とおり,"in accordance with ~; following ~; ~ street, ~ avenue",JLPT JLPT_2,i!k>vq-guB,"ตาม ~; ตาม ~; ถนน ~, ทางหลวง ~, สอดคล้องกับ ~, ตามแนว ~",これは指示通りのやり方です。,นี่คือวิธีการทำตามคำสั่ง
～ところ,～ところ,about to do ~,JLPT JLPT_2,B;8DjvC&9},"กำลังจะทำ ~, ใกล้จะทำ ~, จวนจะทำ ~, เตรียมจะทำ ~",今、帰るところです。,ตอนนี้กำลังจะกลับ
～内,～ない,inside ~,JLPT JLPT_2,K?<zC9:h:N,"ข้างใน ~, ภายใน ~, ใน ~, ด้านใน ~",これは箱の内側です。,นี่คือด้านในของกล่อง
～年生,～ねんせい,counter for school year,JLPT JLPT_2,seB~`F&UPJ,"ตัวนับสำหรับปีการศึกษา, ~ ชั้นปี, ~ ปี (การศึกษา), ~ นักเรียนชั้น",私は小学一年生です。,ฉันเป็นนักเรียนชั้นประถมศึกษาปีที่ 1
～泊,～はく,"counter for staying (e.g., 2 nights)",JLPT JLPT_2,PblG<4:M5~,"จำนวนคืนที่เข้าพัก (เช่น 2 คืน), ~ คืน (ที่พัก), ~ ราตรี, ~ การค้างคืน",一泊二食付きのプランです。,เป็นแพ็กเกจพัก 1 คืน พร้อมอาหาร 2 มื้อ
～発,～はつ,counter for bullets,JLPT JLPT_2,e#d]&/=XN},"ตัวนับกระสุน, ~ นัด (กระสุน), ~ ครั้ง (ยิง), ~ ลูก (กระสุน)",これは弾一発です。,นี่คือกระสุนนัดเดียว
～番目,～ばんめ,~th,JLPT JLPT_2,i*esVeP_ak,"~th, ~ ลำดับที่, ~ ที่, ~ อันดับ",これは三番目の人です。,นี่คือคนที่สาม
～費,～ひ,cost of ~,JLPT JLPT_2,u[jm+{6L3X,"ค่าใช้จ่ายของ ~, ค่า ~, รายจ่ายของ ~, ราคาของ ~",これは交通費です。,นี่คือค่าเดินทาง
～病,～びょう,kind of disease,JLPT JLPT_2,A*!}.Pwu5m,"โรคชนิดหนึ่ง, ~ โรค, ~ อาการป่วย, ~ ภาวะเจ็บป่วย",これは心臓病です。,นี่คือโรคหัวใจ
～部,～ぶ,~ part,JLPT JLPT_2,fPDrnMwV)X,"~ ส่วน, ~ แผนก, ~ หน่วย, ~ ภาค",これは文学部です。,นี่คือคณะอักษรศาสตร์
～風,～ふう,~ style,JLPT JLPT_2,l^t;?>.nOp,"~ สไตล์, ~ แบบ, ~ อย่าง, ~ ลักษณะ",これは洋風の家です。,นี่คือบ้านสไตล์ตะวันตก
～振り,～ぶり,after an interval of ~,JLPT JLPT_2,;^fUn`g0d,"หลังจากช่วงเวลาประมาณ ~, หลังจาก ~, ในรอบ ~, เป็นเวลา ~",これは三年ぶりの再会です。,นี่คือการพบกันอีกครั้งในรอบ 3 ปี
～遍,～へん,time,JLPT JLPT_2,K&5Px_U7gs,"เวลา, ครั้ง, รอบ, หน",これは一度読んだ本です。,นี่คือหนังสือที่เคยอ่านหนึ่งครั้ง
～弁,～べん,"speech, dialect",JLPT JLPT_2,jOUF!M-NS3,"การพูด, ภาษาถิ่น, คำพูด, สำเนียง",これは関西弁ですか。,นี่คือภาษาคันไซหรือเปล่า
～歩,～ほ,"step, pace",JLPT JLPT_2,Bd!L5Wz^Su,"ก้าว, ก้าวเดิน, การเดิน, จังหวะ",ゆっくり歩いてください。,กรุณาเดินช้าๆ
～ぽい,～ぽい,~ish,JLPT JLPT_2,f_=g;f`{~[,"ประมาณนั้น, ดูเหมือน ~, คล้าย ~, ท่าทาง ~",これは子供っぽいですね。,นี่ดูเหมือนเด็กเลยนะ
～ほう (ひかく),～ほう (ひかく),(in comparison),JLPT JLPT_2,bVM<L+hK+`,"(เมื่อเปรียบเทียบกัน), ในด้าน ~, เมื่อเทียบกับ ~, ในทาง ~",これは以前のほうです。,นี่คืออันก่อนหน้านี้
～みたい,～みたい,looks like ~,JLPT JLPT_2,N{CD^3;+~1,"ดูเหมือนว่า ~, เหมือน ~, คล้าย ~, ราวกับว่า ~",これは夢みたいです。,นี่เหมือนความฝันเลย
～向け,～むけ,for ~,JLPT JLPT_2,"Gc8ij%t,3=","สำหรับ ~, เพื่อ ~, มุ่งเป้าไปที่ ~, เหมาะสำหรับ ~",これは子供向けの絵本です。,นี่คือหนังสือภาพสำหรับเด็ก
～名,～めい,counter for people,JLPT JLPT_2,u?LD1<v]&U,"เคาน์เตอร์สำหรับคน, ~ คน, ~ ท่าน, ~ ราย",これは三人のお客さんです。,นี่คือแขกสามท่าน
～もち,～もち,person who has ~,JLPT JLPT_2,kcFc6H|EaR,"บุคคลที่มี ~, ผู้มี ~, เจ้าของ ~, ผู้ครอบครอง ~",彼は社長です。,เขาคือประธานบริษัท
～問,～もん,counter for questions,JLPT JLPT_2,r$GN8{}74-,"ตัวนับคำถาม, ~ ข้อ (คำถาม), ~ คำถาม, ~ ปัญหา",これは五問の問題です。,นี่คือโจทย์ 5 ข้อ
～夜,～や,counter for nights,JLPT JLPT_2,Cczj9?Yw&<,"เคาน์เตอร์สำหรับคืน, ~ คืน, ~ ราตรี, ~ เวลาค่ำคืน",これは昨夜のことです。,นี่คือเรื่องของเมื่อคืน
～等,～ら,plural persons,JLPT JLPT_2,yo94:>GuX6,"บุคคลหลายคน, พวก ~, เหล่า ~, บรรดา ~",これは友達らです。,นี่คือเพื่อนๆ
～流,～りゅう,"fashion, manner, way",JLPT JLPT_2,zpH1qv^$%p,"แฟชั่น, มารยาท, วิธีการ, รูปแบบ",これは新しい流派です。,นี่คือสำนักใหม่
～料,～りょう,"fare, charge",JLPT JLPT_2,IX116ZKh4C,"ค่าโดยสาร, ค่าบริการ, ค่าธรรมเนียม, ค่าใช้จ่าย",これは運賃です。,นี่คือค่าโดยสาร
～領,～りょう,territory,JLPT JLPT_2,MXZX<Kqb>,"อาณาเขต, เขตแดน, ดินแดน, พื้นที่ปกครอง",これは日本の領土です。,นี่คือดินแดนของญี่ปุ่น
～力,～りょく,power of ~,JLPT JLPT_2,G<sBHiz^]!,"พลังของ ~, แรงของ ~, กำลังของ ~, ศักยภาพของ ~",これは体力です。,นี่คือพละกำลัง
～論,～ろん,theory,JLPT JLPT_2,"ec<,e&v$V7","ทฤษฎี, แนวคิด, หลักการ, สมมติฐาน",これは新しい理論です。,นี่คือทฤษฎีใหม่
