expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
上げる,あげる,"to raise, to lift",JLPT JLPT_3 JLPT_5 JLPT_N5,Hp0]9?Ae.w,"ยก, ชู, เหนี่ยว, อุ้ม",手を上げてください。,กรุณายกมือขึ้น
朝,あさ,morning,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,g|Q>VbnCii,"เช้า, ตอนเช้า, ยามเช้า, รุ่งอรุณ",朝、早く起きました。,ฉันตื่นเช้า
朝御飯,あさごはん,breakfast,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,wWUR=G6*(U,"อาหารเช้า, ข้าวเช้า, มื้อเช้า, ภัตตาหารเช้า",朝御飯を食べました。,ฉันกินอาหารเช้าแล้ว
明後日,あさって,day after tomorrow,JLPT JLPT_5 JLPT_N5,mF[0Aq7|V7,"วันมะรืน, มะรืนนี้, สองวันข้างหน้า, วันรุ่งขึ้นอีกวัน",明後日、旅行に行きます。,มะรืนนี้จะไปเที่ยว
足; 脚,あし,foot; leg,JLPT JLPT_5 JLPT_N5,m.INsC.wC2,"เท้า, ขา, บาท, ตีน",足が痛いです。,ขาเจ็บ
明日,あした,tomorrow,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5,xZI7N3AauN,"พรุ่งนี้, วันพรุ่ง, วันรุ่งขึ้น, วันรุ่งพรุ่ง",明日、学校へ行きます。,พรุ่งนี้จะไปโรงเรียน
あそこ,あそこ,"there, over there, that place",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,P>AI.lx+Jq,"ตรงนั้น, ที่นั่น, โน่น, นั่น",あそこは私の家です。,ตรงนั้นคือบ้านของฉัน
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,e<h|f2`;&,"เล่น, เที่ยว, สนุก, ผ่อนคลาย",子供が公園で遊んでいます。,เด็กๆ กำลังเล่นอยู่ที่สวนสาธารณะ
暖かい,あたたかい,warm,JLPT_N5,tk[pUMy0{i,"อบอุ่น, อุ่น, ละมุน, กรุ่น",暖かい服を着ます。,ฉันใส่เสื้อผ้าที่อบอุ่น
頭,あたま,head,Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,DaKiPvzaex,"หัว, ศีรษะ, เศียร, เกศ",頭が痛いです。,ปวดหัว
新しい,あたらしい,new,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,h)6JB@Q5Rj,"สด, ทันสมัย, ปัจจุบัน, ใหม่เอี่ยม",新しいカバンを買いました。,ฉันซื้อกระเป๋าใบใหม่
あちら,あちら,this way (polite),Genki Genki_Ln.20 JLPT JLPT_5 JLPT_N5,h{rLO32/d4,"ทางนี้, ด้านนี้, ฝั่งนี้, บริเวณนี้",あちらへ行ってください。,กรุณาไปทางนั้น
暑い,あつい,"hot (in reference to weather), warm",Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,"gSl8i,<}^I","อบอ้าว, ระอุ, แผดเผา, ร้อนอบอ้าว",今日は暑いです。,วันนี้อากาศร้อน
熱い,あつい,hot (objects),Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,Gy7fB=0YXx,"ร้อนระอุ, อุ่น, ลวกร้อน, ร้อนจี๋",熱いお湯です。,เป็นน้ำร้อน
厚い,あつい,"kind, warm(hearted), thick, deep",JLPT JLPT_5 JLPT_N5,v[2GvOysf?,"มีน้ำใจ, เมตตา, อบอุ่นใจ, ละเอียดอ่อน",彼の心は厚いです。,จิตใจของเขาอบอุ่น
あっち,あっち,over there,JLPT JLPT_5 JLPT_N5,Pv=fA$Z6K5,"โน่น, ด้านโน้น, บริเวณนั้น, ตรงโน้น",あっちへ行こう。,ไปทางนั้นกันเถอะ
後,あと,afterwards (later); in the future; the rest; since then,Genki Genki_Ln.18 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,"r-[yF55!,-","ต่อมา, ภายหลัง, ทีหลัง, ถัดไป",後で電話します。,จะโทรไปทีหลังนะ
あなた,あなた,you,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,"dwd.i?n%,!","ท่าน, เธอ, แก, คุณ",あなたは誰ですか。,คุณคือใคร
兄,あに,(my) older brother (humble),Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5,L}%Kue=51s,"พี่, เฮีย, บราเดอร์, อาเฮีย",兄は医者です。,พี่ชายเป็นหมอ
姉,あね,(my) older sister (humble),Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,IX6p9}CO.e,"พี่, เจ๊, ซิสเตอร์, อาเจ๊",姉は学生です。,พี่สาวเป็นนักเรียน
アパート,アパート,apartment (abbr.),Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,wZ/2ki)d+f,"แฟลต, ห้องเช่า, คอนโด, อพาร์ตเมนต์",アパートに住んでいます。,ฉันอาศัยอยู่ในอพาร์ตเมนต์
あの,あの,"that over there; like that, that way; um...",JLPT JLPT_4 JLPT_5 JLPT_N5,B2LX%goFyX,"อย่างนั้น, เช่นนั้น, แบบนั้น, ทิศนั้น",あの人は田中さんです。,คนนั้นคือคุณทานากะ
浴びる,あびる,"to bathe, to shower",JLPT JLPT_3 JLPT_5 JLPT_N5,b2.2F3UI=#,"ชำระกาย, ล้างตัว, สรงน้ำ, อาบน้ำ",シャワーを浴びました。,ฉันอาบน้ำ
危ない,あぶない,"dangerous, critical",Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5,kjgRC;INvI,"เสี่ยง, ภัย, ร้ายแรง, ฉุกเฉิน",危ないから、気をつけてください。,เพราะว่าอันตราย โปรดระมัดระวัง
甘い,あまい,"generous, sweet",Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5,jcM!HlCL`<,"เอื้อเฟื้อ, มีน้ำใจ, โอบอ้อมอารี, เมตตา",このケーキは甘いです。,เค้กนี้หวาน
余り,あまり,not very; surplus,JLPT JLPT_3 JLPT_5 JLPT_N5,"l$B(J(k,y1","เหลือเฟือ, เกินพอ, เหลือใช้, มากมาย",あまり使いません。,ไม่ค่อยได้ใช้
雨,あめ,rain,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,PaXlv})<8_,"วัสสะ, ห่าฝน, พายุฝน, ฝนตก",雨が降っています。,ฝนกำลังตก
飴,あめ,(hard) candy,JLPT JLPT_5 JLPT_N5,v}dp1l^X:W,"ลูกกวาด, ทอฟฟี่, ขนมหวาน, ลูกอม",飴をください。,ขออมยิ้มหน่อยครับ/ค่ะ
洗う,あらう,to wash,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,H=[cc$xhzR,"ชะล้าง, ทำความสะอาด, ขัด, ชำระ",手を洗ってください。,กรุณาช่วยล้างมือ
在る,ある,"to be, to have",JLPT JLPT_3 JLPT_5 JLPT_N5,w$Yz{uB@-`,"อยู่, คือ, มีอยู่, เกิดขึ้น",そこに本があります。,มีหนังสืออยู่ที่นั่น
有る,ある,"to be, to have",JLPT JLPT_3 JLPT_5 JLPT_N5,v`6i&kQMJj,"เป็น, มี, คือ, ครอบครอง",お金があります。,ฉันมีเงิน
歩く,あるく,to walk,Genki Genki_Ln.20 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,"Kkagn,fSTU","เดิน, ก้าวเดิน, ย่างก้าว, จร",駅まで歩きました。,ฉันเดินไปถึงสถานี
あれ,あれ,that one (over there),Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,Co(PaI(^/_,"อันนั้น, สิ่งนั้น, โน่น, ตรงนั้น",あれは何ですか。,อันนั้นคืออะไร
いい; よい,いい; よい,good,JLPT JLPT_5 JLPT_N5,O(#?WJE%7H,"ดี, เยี่ยม, ยอดเยี่ยม, เลิศ",いい天気ですね。,อากาศดีจังเลยนะคะ
いいえ,いいえ,"no, not at all",JLPT JLPT_5 JLPT_N5,"iO`r],Af`o","ไม่เลย, ไม่ใช่, หามิได้, เปล่าเลย",いいえ、違います。,ไม่ครับ/ค่ะ มันไม่ใช่
言う,いう,to say,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,iurNhMLEpv,"พูด, กล่าว, บอก, เอ่ย",先生が言いました。,คุณครูพูด
家,いえ,"house, home",Genki Genki_Ln.3 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,QGc`#y1e97,"บ้าน, เคหะสถาน, ที่พัก, ที่อยู่อาศัย",私の家は小さいです。,บ้านของฉันหลังเล็ก
いかが,いかが,"how, in what way",JLPT JLPT_5 JLPT_N5,r5L~xW!JP9,"อย่างไร, แบบไหน, วิธีใด, เช่นไร",いかがですか。,เป็นอย่างไรบ้างครับ/คะ
行く,いく; ゆく,to go,JLPT JLPT_5 JLPT_N5,kJnXhXxW0),"ไป, เคลื่อนไป, เดินทาง, มุ่งหน้า",明日、東京へ行きます。,พรุ่งนี้จะไปโตเกียว
いくつ,いくつ,"how many, how old",JLPT JLPT_3 JLPT_5 JLPT_N5,mxf9)ZwbLi,"เท่าไหร่, กี่คน, กี่ปี, จำนวนเท่าใด",あなたは何歳ですか。,คุณอายุเท่าไหร่
いくら,いくら,"how much, how many",Genki Genki_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5,G7]VF2LkZL,"เท่าไหร่, กี่บาท, จำนวนเท่าใด, ประมาณเท่าใด",いくらですか。,ราคาเท่าไหร่ครับ/คะ
池,いけ,pond,JLPT JLPT_5 JLPT_N5,"u8]?l[G,7&","บ่อน้ำ, สระน้ำ, ตระพัง, ห้วยหนอง",池で魚が泳いでいます。,ปลากำลังว่ายอยู่ในบ่อ
医者,いしゃ,doctor; physician,Genki Genki_Ln.1 Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,"f&|8.,xzY9","หมอ, แพทย์, นายแพทย์, ผู้รักษา",医者になりたいです。,ฉันอยากเป็นหมอ
椅子,いす,chair,JLPT JLPT_3 JLPT_5 JLPT_N5,Nxw^e{dZp(,"เก้าอี้, ที่นั่ง, ม้านั่ง, เก้าอี้นั่ง",椅子に座ってください。,กรุณานั่งบนเก้าอี้
忙しい,いそがしい,"busy (people, days)",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,pTORshR]m|,"ยุ่ง, ไม่ว่าง, มีธุระ, รัดตัว",今日は忙しいです。,วันนี้ฉันยุ่ง
痛い,いたい,hurt; painful; sore,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5,O@@jk^&oQ8,"เจ็บ, ปวด, ระบม, ปวดร้าว",お腹が痛いです。,ปวดท้อง
一,いち,one,JLPT JLPT_3 JLPT_5 JLPT_N5,C57gy_Lcmo,"หนึ่ง, เอก, อันหนึ่ง, แรก",一番大きい。,ใหญ่ที่สุด
一日,いちにち,one day (duration),Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,Q/Fb^F]yhk,"หนึ่งวัน, ตลอดวัน, วันเดียว, ครบวัน",一日中、本を読みました。,ฉันอ่านหนังสือทั้งวัน
一番,いちばん,"best (most), first, number one",Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,y&ds7j((mb,"ดีที่สุด (มากที่สุด), อันดับแรก, อันดับหนึ่ง, ยอดเยี่ยม",これが一番いいです。,อันนี้ดีที่สุด
いつ,いつ,when,Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5,oGX1~x%YQo,"เมื่อไร, ตอนไหน, คราวใด, ยามใด",いつ行きますか。,จะไปเมื่อไหร่
五日,いつか,five days; fifth day of the month,Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5,iii]i;bYjg,"ห้าวัน, วันที่ห้า, ครบห้าวัน, ห้าวันถ้วน",五日後に出発します。,จะออกเดินทางในอีกห้าวัน
一緒,いっしょ,together,Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,D>uK5dFJy^,"ด้วยกัน, ร่วมกัน, พร้อมกัน, กัน",友達と一緒に行きます。,จะไปกับเพื่อน
五つ,いつつ,five things,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,Q!*H:Q_rHO,"ห้าสิ่ง, ของห้าอย่าง, ห้าอย่าง, ห้าชิ้น",五つください。,ขอห้าอันครับ/ค่ะ
いつも,いつも,"always, usually, every time, never (with neg. verb)",Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,BM|Xrf53.p,"เสมอ, โดยปกติ, ทุกครั้ง, ไม่เคย (ใช้กับกริยาปฏิเสธ)",いつも元気ですね。,แข็งแรงเสมอเลยนะคะ
犬,いぬ,dog,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,"ktH(<>,fX+","สุนัข, หมา, ชาติหมา, ตูบ",犬がいます。,มีสุนัขอยู่
今,いま,now,Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,N{Ld-iFO]H,"ตอนนี้, เดี๋ยวนี้, บัดนี้, ปัจจุบันนี้",今、何時ですか。,ตอนนี้กี่โมงแล้วครับ/คะ
意味,いみ,"meaning, significance",Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,xQ(-U#d9Tp,"ความหมาย, สาระ, นัย, ความสำคัญ",この言葉の意味は何ですか。,คำนี้หมายความว่าอะไรครับ/คะ
妹,いもうと,younger sister (humble),Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5,BL_XI^txw+,"น้องสาว, ภคินี, น้องหญิง, น้องเล็ก",妹は可愛いです。,น้องสาวน่ารัก
嫌,いや,"disagreeable, detestable, unpleasant",JLPT JLPT_3 JLPT_5 JLPT_N5,pj6@51cCNZ,"ไม่น่าพอใจ, น่ารังเกียจ, ไม่ถูกใจ, ไม่เป็นที่ยอมรับ",それは嫌です。,ฉันไม่ชอบสิ่งนั้น
入口,いりぐち,entrance,JLPT JLPT_5 JLPT_N5,"E5~,8$6,oj","ทางเข้า, ปากทาง, ประตู, ช่องทางเข้า",入口はどこですか。,ทางเข้าอยู่ที่ไหน
居る,いる,"(humble) to be (animate), to exist",JLPT JLPT_5 JLPT_N5,wfzvV]4NOO,"เป็นอยู่, ดำรงอยู่, มีชีวิตอยู่, อยู่",先生がいます。,มีคุณครูอยู่
要る,いる,to need,JLPT JLPT_5 JLPT_N5,j|TF$iBC;9,"จำเป็นต้อง, ต้องการ, ต้อง, ประสงค์",お金が要りますか。,ต้องใช้เงินไหม
入れる,いれる,to put in,JLPT JLPT_5 JLPT_N5,swmy/(v]Eb,"ใส่, บรรจุ, สอดใส่, เอาเข้า",箱に物を入れました。,ฉันใส่ของลงในกล่อง
色,いろ,color,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,"Epa;v6=%P,","สี, วรรณะ, พรรณ, เฉดสี",この服の色が好きです。,ฉันชอบสีของเสื้อผ้าตัวนี้
色々,いろいろ,various,JLPT JLPT_5 JLPT_N5,jV7cB[WgxE,"หลากหลาย, นานา, หลายอย่าง, หลายชนิด",色々あります。,มีหลายอย่าง
上,うえ,"above (up, top, etc.), over, on top of",JLPT JLPT_2 JLPT_5 JLPT_N5,"j3j@,T!uH>","ด้านบน (ขึ้น, ด้านบนสุด ฯลฯ) เหนือ, บนสุด, ข้างบน",机の上に本があります。,มีหนังสืออยู่บนโต๊ะ
後ろ,うしろ,"back, behind, rear",JLPT JLPT_3 JLPT_5 JLPT_N5,s:DnwS1iNM,"ด้านหลัง, ข้างหลัง, ท้าย, ส่วนหลัง",後ろを見てください。,กรุณาดูข้างหลัง
薄い,うすい,"thin, weak",JLPT JLPT_3 JLPT_5 JLPT_N5,pRrb<$bzH|,"ผอม, บาง, อ่อนแอ, บอบบาง",紙が薄いです。,กระดาษบาง
歌,うた,a song,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,JJN9**Hn8A,"เพลง, บทเพลง, บทร้อง, บทขับร้อง",歌を歌います。,จะร้องเพลง
歌う,うたう,to sing,Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,AN4yH;7MHR,"ร้องเพลง, ขับร้อง, เปล่งเสียงเพลง, ขับขาน",友達が歌っています。,เพื่อนกำลังร้องเพลง
うち,うち,home; house; my place,Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,u5l2?%hKEd,"บ้าน, เรือน, ที่พัก, ที่อยู่อาศัย",うちへ帰ります。,จะกลับบ้าน
生まれる,うまれる,to be born,JLPT JLPT_3 JLPT_5 JLPT_N5,i{d6CiQ#iK,"เกิด, กำเนิด, ถือกำเนิด, อุบัติ",赤ちゃんが生まれました。,ทารกได้ถือกำเนิดขึ้นแล้ว
海,うみ,"sea, beach",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,Cla&e~|Y6P,"ทะเล, มหาสมุทร, ชายหาด, หาดทราย",海がきれいです。,ทะเลสวย
売る,うる,to sell (v.t.),Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5,nqk=gYOr|$,"ขาย, จำหน่าย, ปล่อย, ค้า",本を売ります。,จะขายหนังสือ
うるさい,うるさい,noisy; annoying,Genki Genki_Ln.22 JLPT JLPT_3 JLPT_5 JLPT_N5,fsH/V)BWD4,"เสียงดัง, อึกทึก, น่ารำคาญ, หนวกหู",うるさいですね。,เสียงดังจังเลยนะคะ
上着,うわぎ,"coat, jacket",JLPT JLPT_5 JLPT_N5,nv?u]<OhhN,"เสื้อโค้ท, เสื้อแจ็คเก็ต, เสื้อนอก, เสื้อคลุม",上着を着ます。,จะใส่เสื้อคลุม
絵,え,a painting; a picture; a drawing,Genki Genki_Ln.15 JLPT JLPT_3 JLPT_5 JLPT_N5,E6H3mWmPF1,"ภาพวาด, รูปภาพ, ภาพเขียน, ภาพร่าง",絵を描きます。,จะวาดรูป
映画,えいが,"movie, film",Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,Q842_8x`<%,"ภาพยนตร์, หนัง, ฟิล์ม, ภาพฉาย",映画を見に行きます。,จะไปดูหนัง
映画館,えいがかん,"movie theater, cinema",Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5,tKa%gU>tYk,"โรงหนัง, โรงภาพยนตร์, ซีนีมา, สถานที่ฉายหนัง",映画館はどこですか。,โรงภาพยนตร์อยู่ที่ไหน
英語,えいご,English (language),Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,l~kTfp|Na~,"ภาษาอังกฤษ, อังกฤษ, ภาษาฝรั่ง, วิชาอังกฤษ",英語が話せますか。,พูดภาษาอังกฤษได้ไหม
ええ,ええ,yes,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,K4f;DsCIdC,"ใช่, ครับ, ค่ะ, ครับผม",ええ、そうです。,ใช่ครับ/ค่ะ เป็นเช่นนั้น
駅,えき,station,Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5,EP[wTa2Y![,"สถานี, จุดจอด, ป้าย, ที่จอด",駅まで送ります。,จะไปส่งที่สถานี
エレベーター,エレベーター,elevator,JLPT JLPT_2 JLPT_5 JLPT_N5,GomZ-xrho6,"ลิฟต์, บันไดเลื่อนไฟฟ้า, เครื่องยก, เครื่องขึ้นลง",エレベーターはどこですか。,ลิฟต์อยู่ที่ไหน
～円,～えん,Yen,JLPT JLPT_5 JLPT_N5,"rY,[_6)@&p","เยน, เงินเยน, ค่าเงินเยน, หน่วยเงินเยน",これはいくらですか。,อันนี้ราคาเท่าไหร่ครับ/คะ
鉛筆,えんぴつ,pencil,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,ArKUTnLoi2,"ดินสอ, ปากกาสอ, ดินสอเขียน, แท่งดินสอ",鉛筆で書きます。,จะเขียนด้วยดินสอ
お～,お～,honorable ~ (honorific),JLPT JLPT_5 JLPT_N5,Q1z/@I6[X=,"ผู้ทรงเกียรติ, ท่านผู้มีเกียรติ, ฯพณฯ, ผู้เป็นที่นับถือ",お父さん、ありがとう。,คุณพ่อ ขอบคุณครับ/ค่ะ
美味しい,おいしい,"delicious, tasty",JLPT JLPT_5 JLPT_N5,f%Oz)hC{aH,"อร่อย, โอชะ, รสเลิศ, รสชาติดี",この寿司は美味しいです。,ซูชินี้อร่อย
多い,おおい,many; there are a lot,Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,CS_ZJ+i5[),"มากมาย, เยอะแยะ, ล้นหลาม, เพียบ",人が多いですね。,คนเยอะจังเลยนะคะ
大きい,おおきい,"big, large",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,N*s[nF-<Om,"ใหญ่, ขนาดใหญ่, มหึมา, มโหฬาร",大きい犬がいます。,มีสุนัขตัวใหญ่
大きな,おおきな,big,JLPT JLPT_5 JLPT_N5,"C@,$F5(H&S","ใหญ่, โต, มหึมา, ขนาดใหญ่",大きな声で話してください。,กรุณาพูดเสียงดัง
大勢,おおぜい,great number of people,JLPT JLPT_5 JLPT_N5,d_f[=H{F{<,"ผู้คน, ฝูงชน, มวลชน, พลเมือง",大勢の人が集まりました。,ผู้คนจำนวนมากมารวมตัวกัน
お母さん,おかあさん,mother (formal),Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_5 JLPT_N5,JmU7?0Aw7),"มารดา, ชนนี, พระมารดา, คุณแม่",お母さんが呼んでいます。,คุณแม่กำลังเรียก
お菓子,おかし,"confections, sweets, snack",Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5,iY2$$8!fW<,"ขนม, ของหวาน, ของกินเล่น, อาหารว่าง",お菓子を食べます。,จะกินขนม
お金,おかね,money,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,uh%`nh}D?M,"สตางค์, ทรัพย์, ทรัพย์สิน, ปัจจัย",お金を貸してください。,กรุณายืมเงินให้ฉันหน่อย
起きる,おきる,"to get up (e.g., from sleeping); to happen",Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,i~#f<a525w,"ตื่น, ลุก, บังเกิด, อุบัติ",朝、早く起きました。,ฉันตื่นเช้า
置く,おく,to put; to lay; to place,Genki Genki_Ln.21 JLPT JLPT_3 JLPT_5 JLPT_N5,"KTJ,/<Sfw7","วาง, จัด, ตั้ง, ปัก",テーブルに置きます。,จะวางไว้บนโต๊ะ
奥さん,おくさん,(someone else's) wife (hon.),Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,raj<Z6u7R],"ภริยา, คู่ครอง, คู่สมรส, ภรรยา",奥さんが来ました。,ภรรยามาแล้ว
お酒,おさけ,sake; alcohol,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,BPnYG]G`g3,"เหล้า, สุรา, แอลกอฮอล์, น้ำจัณฑ์",お酒を飲みますか。,จะดื่มเหล้าไหม
お皿,おさら,"plate, dish",JLPT JLPT_5 JLPT_N5,"lNBs!SV,D!","จาน, ชาม, ภาชนะ, ถ้วย",お皿を洗います。,จะล้างจาน
伯父; 叔父さん,おじさん,"uncle, middle-aged man",JLPT JLPT_5 JLPT_N5,s$4&3o9W|{,"ลุง, อา, น้าชาย, ชายกลางคน",おじさんが来ました。,ลุงมาแล้ว
おじいさん,おじいさん,"grandfather, male senior citizen",Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5,OnBGSorIYO,"ปู่, ตา, ชายชรา, ผู้สูงอายุ",おじいさんと散歩します。,จะไปเดินเล่นกับคุณปู่
教える,おしえる,"to teach, to inform, to instruct",Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,&(rx8HabP,"สอน, แนะนำ, อบรม, บอก",先生が教えてくれます。,คุณครูจะสอนฉัน
押す,おす,"to push, to press, to stamp (e.g., a passport)",Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5,O7S.k1^4+9,"กด, ตอก, ประทับตรา (เช่น หนังสือเดินทาง), ผลัก",ボタンを押してください。,กรุณากดปุ่ม
遅い,おそい,slow; (to be) late,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5,e`TVG4aTiS,"ช้า, อืดอาด, สาย, ล่าช้า",電車が遅いです。,รถไฟมาช้า
お茶,おちゃ,(green) tea,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5,"o|6tDcd,cL","ชา, เครื่องดื่มชา, น้ำชา, ชาเขียว",お茶を飲みます。,จะดื่มชา
